Seed,arrival rate,"(Good)","(Bad)"
400137271,0.0010000000,0.5101234733,0.6001115845
400137271,0.0234285714,0.5129411369,0.6029798291
400137271,0.0458571429,0.5157963093,0.6059562280
400137271,0.0682857143,0.5186962787,0.6090088358
400137271,0.0907142857,0.5216223664,0.6121670157
400137271,0.1131428571,0.5245655617,0.6154560378
400137271,0.1355714286,0.5275594136,0.6188466157
400137271,0.1580000000,0.5305787350,0.6223686984
400137271,0.1804285714,0.5336379190,0.6260169243
400137271,0.2028571429,0.5367360993,0.6297921949
400137271,0.2252857143,0.5398475136,0.6337212839
400137271,0.2477142857,0.5430090761,0.6377788746
400137271,0.2701428571,0.5462009978,0.6419934742
400137271,0.2925714286,0.5494407279,0.6463507758
400137271,0.3150000000,0.5527330077,0.6508613034
400137271,0.3374285714,0.5560499364,0.6555576696
400137271,0.3598571429,0.5594190903,0.6604219861
400137271,0.3822857143,0.5628169965,0.6654854949
400137271,0.4047142857,0.5662636292,0.6707349461
400137271,0.4271428571,0.5697571464,0.6761869529
400137271,0.4495714286,0.5732905896,0.6818562595
400137271,0.4720000000,0.5768964804,0.6877167299
400137271,0.4944285714,0.5805083521,0.6938535197
400137271,0.5168571429,0.5841975508,0.7002045488
400137271,0.5392857143,0.5879217813,0.7068291648
400137271,0.5617142857,0.5917060554,0.7137174053
400137271,0.5841428571,0.5955281166,0.7209089205
400137271,0.6065714286,0.5994213258,0.7283886384
400137271,0.6290000000,0.6033332186,0.7362235286
400137271,0.6514285714,0.6073117699,0.7443768296
400137271,0.6738571429,0.6113227375,0.7529098177
400137271,0.6962857143,0.6154284354,0.7617785055
400137271,0.7187142857,0.6195664277,0.7710688189
400137271,0.7411428571,0.6237325332,0.7808128033
400137271,0.7635714286,0.6279774920,0.7909853362
400137271,0.7860000000,0.6322860061,0.8016301362
400137271,0.8084285714,0.6366806617,0.8127503092
400137271,0.8308571429,0.6411174776,0.8244145190
400137271,0.8532857143,0.6455828804,0.8366775607
400137271,0.8757142857,0.6501030505,0.8495592588
400137271,0.8981428571,0.6547598719,0.8630192896
400137271,0.9205714286,0.6594848884,0.8771646983
400137271,0.9430000000,0.6642538891,0.8920698810
400137271,0.9654285714,0.6690326990,0.9078131487
400137271,0.9878571429,0.6739588820,0.9243312199
400137271,1.0102857143,0.6789824979,0.9417261912
400137271,1.0327142857,0.6839666425,0.9602037837
400137271,1.0551428571,0.6891017306,0.9796475025
400137271,1.0775714286,0.6943369318,1.0001583981
400137271,1.1000000000,0.6996388920,1.0218789260

