20,445550.6,400137271,6665952,10000000,0.6665952,p12,mean delay,seed
39.6,430436.34,400137271,6632587,10000000,0.6632587,0,445550.6,400137271
59.2,415527.88,400137271,6599840,10000000,0.659984,0.01,430436.34,400137271
78.8,400736.12,400137271,6567309,10000000,0.6567309,0.02,415527.88,400137271
98.4,386161.07,400137271,6535260,10000000,0.653526,0.03,400736.12,400137271
118,371661.93,400137271,6503431,10000000,0.6503431,0.04,386161.07,400137271
137.6,357237.31,400137271,6471617,10000000,0.6471617,0.05,371661.93,400137271
157.2,343066.05,400137271,6440385,10000000,0.6440385,0.06,357237.31,400137271
176.8,328950.38,400137271,6409383,10000000,0.6409383,0.07,343066.05,400137271
196.4,314928.83,400137271,6378708,10000000,0.6378708,0.08,328950.38,400137271
216,300941.11,400137271,6348184,10000000,0.6348184,0.09,314928.83,400137271
235.6,286991.61,400137271,6317868,10000000,0.6317868,0.1,300941.11,400137271
255.2,273157.42,400137271,6287867,10000000,0.6287867,0.11,286991.61,400137271
274.8,259709.6,400137271,6258527,10000000,0.6258527,0.12,273157.42,400137271
294.4,246244,400137271,6229159,10000000,0.6229159,0.13,259709.6,400137271
314,232884.48,400137271,6200167,10000000,0.6200167,0.14,246244,400137271
333.6,219594.39,400137271,6171413,10000000,0.6171413,0.15,232884.48,400137271
353.2,206316.7,400137271,6142725,10000000,0.6142725,0.16,219594.39,400137271
372.8,193221.47,400137271,6114696,10000000,0.6114696,0.17,206316.7,400137271
392.4,180287.52,400137271,6086872,10000000,0.6086872,0.18,193221.47,400137271
412,167324.39,400137271,6059186,10000000,0.6059186,0.19,180287.52,400137271
431.6,154384.96,400137271,6031581,10000000,0.6031581,0.2,167324.39,400137271
451.2,141690.56,400137271,6004642,10000000,0.6004642,0.21,154384.96,400137271
470.8,129035.75,400137271,5977745,10000000,0.5977745,0.22,141690.56,400137271
490.4,116191.27,400137271,5950699,10000000,0.5950699,0.23,129035.75,400137271
510,103681.69,400137271,5924502,10000000,0.5924502,0.24,116191.27,400137271
529.6,91172.02,400137271,5898255,10000000,0.5898255,0.25,103681.69,400137271
549.2,78641.61,400137271,5871573,10000000,0.5871573,0.26,91172.02,400137271
568.8,66111.54,400137271,5845541,10000000,0.5845541,0.27,78641.61,400137271
588.4,53791.02,400137271,5820094,10000000,0.5820094,0.28,66111.54,400137271
608,41509.89,400137271,5794945,10000000,0.5794945,0.29,53791.02,400137271
627.6,29122.01,400137271,5769572,10000000,0.5769572,0.3,41509.89,400137271
647.2,16924.2,400137271,5744863,10000000,0.5744863,0.31,29122.01,400137271
666.8,4620.16,400137271,5719018,10000000,0.5719018,0.32,16924.2,400137271
686.4,60.33,400137271,4724964,10000000,0.4724964,0.33,4620.16,400137271
706,23.95,400137271,3489833,10000000,0.3489833,0.34,60.33,400137271
725.6,15.51,400137271,2575414,10000000,0.2575414,0.35,23.95,400137271
745.2,11.68,400137271,1910131,10000000,0.1910131,0.36,15.51,400137271
