395,5.77,400137271,295056,20000000,0.0147528,,,395,0.0147528
396,5.81,400137271,307916,20000000,0.0153958,,,396,0.0153958
397,5.86,400137271,321259,20000000,0.0160629,,,397,0.0160629
398,5.91,400137271,335198,20000000,0.0167599,,,398,0.0167599
399,5.96,400137271,349798,20000000,0.0174899,,,399,0.0174899
400,6.01,400137271,364953,20000000,0.0182477,,,400,0.0182477
401,6.06,400137271,380830,20000000,0.0190415,,,401,0.0190415
402,6.11,400137271,397568,20000000,0.0198784,,,402,0.0198784
403,6.16,400137271,414992,20000000,0.0207496,,,403,0.0207496
404,6.22,400137271,433288,20000000,0.0216644,,,404,0.0216644
405,6.27,400137271,452043,20000000,0.0226022,,,405,0.0226022
406,6.33,400137271,471806,20000000,0.0235903,,,406,0.0235903
407,6.38,400137271,492218,20000000,0.0246109,,,407,0.0246109
408,6.44,400137271,513581,20000000,0.025679,,,408,0.025679
409,6.5,400137271,535628,20000000,0.0267814,,,409,0.0267814
410,6.56,400137271,558646,20000000,0.0279323,,,410,0.0279323
