data->arrival_rate,1e3 * data->accumulated_delay / data->number_of_packets_processed,data->random_seed,data->delay_exceeds_20p_counter,data->number_of_packets_processed,(double)data->delay_exceeds_20p_counter / data->number_of_packets_processed,(double)data->p12,1e3 * (double)data->switch1->accumulated_delay_data / data->switch1->number_of_packets_processed_data,1e3 * (double)data->switch1->accumulated_delay_voice / data->switch1->number_of_packets_processed_voice,(double)data->switch1->accumulated_delay_data,data->switch1->number_of_packets_processed_data,(double)data->switch1->accumulated_delay_voice,data->switch1->number_of_packets_processed_voice,,,,
0.05,1.9,400137271,59747,30000000,0.0019916,0,40.2212651,1.8629211,1213.234239,30164,55831.44062,29969836,,0.05,40.2212651,1.8629211
0.3095,2.54,400137271,363683,30000000,0.0121228,0.01,40.5878037,2.307491,7473.188775,184124,68799.8641,29815876,,0.3095,40.5878037,2.307491
0.569,3.18,400137271,666573,30000000,0.0222191,0.02,41.1086456,2.7518847,13854.64128,337025,81629.08717,29662975,,0.569,41.1086456,2.7518847
0.8285,3.83,400137271,968544,30000000,0.0322848,0.03,41.6768948,3.1992477,20337.65781,487984,94416.24822,29512016,,0.8285,41.6768948,3.1992477
1.088,4.47,400137271,1268715,30000000,0.0422905,0.04,42.2133011,3.6453972,26944.03245,638283,107035.1208,29361717,,1.088,42.2133011,3.6453972
1.3475,5.11,400137271,1566782,30000000,0.0522261,0.05,42.7890183,4.0930154,33652.06526,786465,119571.4494,29213535,,1.3475,42.7890183,4.0930154
1.607,5.75,400137271,1863601,30000000,0.06212,0.06,43.3504566,4.5409158,40460.71515,933340,131989.2547,29066660,,1.607,43.3504566,4.5409158
1.8665,6.39,400137271,2157855,30000000,0.0719285,0.07,43.939596,4.9887409,47387.14062,1078461,144282.0637,28921539,,1.8665,43.939596,4.9887409
2.126,7.03,400137271,2450548,30000000,0.0816849,0.08,44.5377031,5.4359571,54454.06719,1222651,156432.4334,28777349,,2.126,44.5377031,5.4359571
2.3855,7.68,400137271,2743726,30000000,0.0914575,0.09,45.1827475,5.8866329,61694.87294,1365452,168561.0726,28634548,,2.3855,45.1827475,5.8866329
2.645,8.33,400137271,3035996,30000000,0.1011999,0.1,45.8322365,6.3422047,69064.59724,1506900,180709.0716,28493100,,2.645,45.8322365,6.3422047
2.9045,8.97,400137271,3325431,30000000,0.1108477,0.11,46.4825687,6.791548,76568.08594,1647243,192559.1105,28352757,,2.9045,46.4825687,6.791548
3.164,9.62,400137271,3611889,30000000,0.1203963,0.12,47.1501563,7.2427862,84207.96308,1785953,204348.3102,28214047,,3.164,47.1501563,7.2427862
3.4235,10.26,400137271,3894452,30000000,0.1298151,0.13,47.815159,7.6871565,91928.51619,1922581,215835.5126,28077419,,3.4235,47.815159,7.6871565
3.683,10.91,400137271,4180174,30000000,0.1393391,0.14,48.536181,8.1409883,99936.96733,2059020,227467.1912,27940980,,3.683,48.536181,8.1409883
3.9425,11.56,400137271,4459843,30000000,0.1486614,0.15,49.251394,8.5886577,107987.4246,2192576,238828.4473,27807424,,3.9425,49.251394,8.5886577
4.202,12.21,400137271,4740714,30000000,0.1580238,0.16,49.9950604,9.0375515,116278.9114,2325808,250106.9357,27674192,,4.202,49.9950604,9.0375515
4.4615,12.87,400137271,5020180,30000000,0.1673393,0.17,50.7639554,9.4874883,124794.8082,2458335,261301.2245,27541665,,4.4615,50.7639554,9.4874883
4.721,13.54,400137271,5300899,30000000,0.1766966,0.18,51.5620472,9.9438158,133514.7651,2589400,272565.9569,27410600,,4.721,51.5620472,9.9438158
4.9805,14.2,400137271,5575613,30000000,0.1858538,0.19,52.3780965,10.393958,142396.717,2718631,283561.4033,27281369,,4.9805,52.3780965,10.393958
5.24,14.87,400137271,5851564,30000000,0.1950521,0.2,53.2111251,10.8488439,151467.9685,2846547,294583.5717,27153453,,5.24,53.2111251,10.8488439
5.4995,15.54,400137271,6124600,30000000,0.2041533,0.21,54.0577867,11.2978837,160763.2628,2973915,305337.5639,27026085,,5.4995,54.0577867,11.2978837
5.759,16.21,400137271,6396088,30000000,0.2132029,0.22,54.9388509,11.7463526,170276.9252,3099390,315984.049,26900610,,5.759,54.9388509,11.7463526
6.0185,16.89,400137271,6667314,30000000,0.2222438,0.23,55.8326987,12.1998026,180025.6137,3224376,326657.3266,26775624,,6.0185,55.8326987,12.1998026
6.278,17.58,400137271,6937173,30000000,0.2312391,0.24,56.7906982,12.651602,190141.107,3348103,337189.1922,26651897,,6.278,56.7906982,12.651602
6.5375,18.27,400137271,7206304,30000000,0.2402101,0.25,57.7439494,13.1039506,200408.0562,3470633,347639.5133,26529367,,6.5375,57.7439494,13.1039506
6.797,18.96,400137271,7470815,30000000,0.2490272,0.26,58.7396851,13.5528284,210958.645,3591416,357911.0063,26408584,,6.797,58.7396851,13.5528284
7.0565,19.67,400137271,7736966,30000000,0.2578989,0.27,59.7822603,14.0031214,221873.1308,3711354,368123.1012,26288646,,7.0565,59.7822603,14.0031214
7.316,20.37,400137271,7999599,30000000,0.2666533,0.28,60.8446163,14.4521621,233014.8018,3829670,378217.8504,26170330,,7.316,60.8446163,14.4521621
7.5755,21.1,400137271,8264123,30000000,0.2754708,0.29,61.9517049,14.9083429,244566.1261,3947690,388396.7713,26052310,,7.5755,61.9517049,14.9083429
7.835,21.83,400137271,8526764,30000000,0.2842255,0.3,63.0855906,15.3585277,256468.917,4065412,398317.089,25934588,,7.835,63.0855906,15.3585277
8.0945,22.57,400137271,8789910,30000000,0.292997,0.31,64.2848078,15.8141011,268820.552,4181712,408293.0157,25818288,,8.0945,64.2848078,15.8141011
8.354,23.32,400137271,9050127,30000000,0.3016709,0.32,65.5024538,16.2658175,281417.1444,4296284,418091.9525,25703716,,8.354,65.5024538,16.2658175
8.6135,24.08,400137271,9309464,30000000,0.3103155,0.33,66.7679695,16.7238824,294461.1004,4410215,427960.5544,25589785,,8.6135,66.7679695,16.7238824
8.873,24.85,400137271,9566973,30000000,0.3188991,0.34,68.0831176,17.173163,307930.9539,4522868,437522.9403,25477132,,8.873,68.0831176,17.173163
9.1325,25.64,400137271,9826128,30000000,0.3275376,0.35,69.4706918,17.6323471,322006.6603,4635144,447241.9457,25364856,,9.1325,69.4706918,17.6323471
9.392,26.44,400137271,10082865,30000000,0.3360955,0.36,70.8775655,18.0866446,336362.3159,4745681,456765.8913,25254319,,9.392,70.8775655,18.0866446
9.6515,27.25,400137271,10338247,30000000,0.3446082,0.37,72.3686842,18.5394705,351373.1198,4855320,466169.0524,25144680,,9.6515,72.3686842,18.5394705
9.911,28.08,400137271,10595157,30000000,0.3531719,0.38,73.9084635,18.9978923,366888.1167,4964088,475629.5594,25035912,,9.911,73.9084635,18.9978923
10.1705,28.92,400137271,10846807,30000000,0.3615602,0.39,75.502203,19.4449507,382943.7006,5071954,484724.6252,24928046,,10.1705,75.502203,19.4449507
10.43,29.79,400137271,11099818,30000000,0.3699939,0.4,77.1655385,19.9011163,399631.6815,5178888,493967.8355,24821112,,10.43,77.1655385,19.9011163
10.6895,30.66,400137271,11349803,30000000,0.3783268,0.41,78.8807788,20.3547364,416863.1451,5284724,503072.9289,24715276,,10.6895,78.8807788,20.3547364
10.949,31.56,400137271,11599614,30000000,0.3866538,0.42,80.6681683,20.806645,434806.7512,5390066,512050.1612,24609934,,10.949,80.6681683,20.806645
11.2085,32.48,400137271,11846813,30000000,0.3948938,0.43,82.5386241,21.2542219,453490.8068,5494286,520849.8828,24505714,,11.2085,82.5386241,21.2542219
11.468,33.42,400137271,12095828,30000000,0.4031943,0.44,84.5016434,21.7060697,473016.7925,5597723,529677.5256,24402277,,11.468,84.5016434,21.7060697
11.7275,34.4,400137271,12344632,30000000,0.4114877,0.45,86.5719921,22.1656542,493483.8158,5700271,538619.3911,24299729,,11.7275,86.5719921,22.1656542
11.987,35.41,400137271,12593197,30000000,0.4197732,0.46,88.7535996,22.6162906,514948.6514,5802003,547268.9326,24197997,,11.987,88.7535996,22.6162906
12.2465,36.44,400137271,12839432,30000000,0.4279811,0.47,91.0244858,23.0741667,537270.1159,5902479,556030.2173,24097521,,12.2465,91.0244858,23.0741667
12.506,37.51,400137271,13085856,30000000,0.4361952,0.48,93.4092881,23.5281451,560689.3455,6002501,564616.6386,23997499,,12.506,93.4092881,23.5281451
12.7655,38.6,400137271,13331037,30000000,0.4443679,0.49,95.8814181,23.9792566,585034.2797,6101644,573064.8111,23898356,,12.7655,95.8814181,23.9792566
13.025,39.75,400137271,13575187,30000000,0.4525062,0.5,98.5458311,24.4326219,610969.3712,6199850,581500.0659,23800150,,13.025,98.5458311,24.4326219
13.2845,40.95,400137271,13820247,30000000,0.4606749,0.51,101.3632499,24.8932941,638327.8692,6297429,590035.0704,23702571,,13.2845,101.3632499,24.8932941
13.544,42.19,400137271,14065867,30000000,0.4688622,0.52,104.3376351,25.3551035,667149.6548,6394142,598528.9732,23605858,,13.544,104.3376351,25.3551035
13.8035,43.48,400137271,14308612,30000000,0.4769537,0.53,107.4710342,25.8102156,697528.0656,6490382,606788.3096,23509618,,13.8035,107.4710342,25.8102156
14.063,44.81,400137271,14549744,30000000,0.4849915,0.54,110.7589694,26.2658825,729418.2562,6585636,614998.9335,23414364,,14.063,110.7589694,26.2658825
14.3225,46.22,400137271,14793773,30000000,0.4931258,0.55,114.2655509,26.7277677,763332.3876,6680337,623282.5352,23319663,,14.3225,114.2655509,26.7277677
14.582,47.68,400137271,15033213,30000000,0.5011071,0.56,117.9616591,27.1824041,799044.6757,6773766,631344.8786,23226234,,14.582,117.9616591,27.1824041
14.8415,49.21,400137271,15272914,30000000,0.5090971,0.57,121.8908395,27.6364774,836939.5588,6866304,639333.8663,23133696,,14.8415,121.8908395,27.6364774
15.101,50.83,400137271,15513378,30000000,0.5171126,0.58,126.1269322,28.0960035,877635.5909,6958352,647378.222,23041648,,15.101,126.1269322,28.0960035
15.3605,52.54,400137271,15752585,30000000,0.5250862,0.59,130.6181456,28.5522686,920843.2974,7049888,655277.7633,22950112,,15.3605,130.6181456,28.5522686
15.62,54.35,400137271,15991055,30000000,0.5330352,0.6,135.4851985,29.0080109,967465.9311,7140750,663101.3722,22859250,,15.62,135.4851985,29.0080109
15.8795,56.27,400137271,16229226,30000000,0.5409742,0.61,140.7014579,29.4629451,1017395.78,7230883,670845.2435,22769117,,15.8795,140.7014579,29.4629451
