20,445550.86,400137271,6665954,10000000,0.6665954,0,445550.86,400137271
39.6,430436.6,400137271,6632589,10000000,0.6632589,0.01,430436.6,400137271
59.2,415528.14,400137271,6599842,10000000,0.6599842,0.02,415528.14,400137271
78.8,400736.38,400137271,6567311,10000000,0.6567311,0.03,400736.38,400137271
98.4,386161.34,400137271,6535262,10000000,0.6535262,0.04,386161.34,400137271
118,371662.19,400137271,6503432,10000000,0.6503432,0.05,371662.19,400137271
137.6,357237.57,400137271,6471618,10000000,0.6471618,0.06,357237.57,400137271
157.2,343066.32,400137271,6440386,10000000,0.6440386,0.07,343066.32,400137271
176.8,328950.65,400137271,6409384,10000000,0.6409384,0.08,328950.65,400137271
196.4,314929.1,400137271,6378709,10000000,0.6378709,0.09,314929.1,400137271
216,300941.38,400137271,6348184,10000000,0.6348184,0.1,300941.38,400137271
235.6,286991.88,400137271,6317868,10000000,0.6317868,0.11,286991.88,400137271
255.2,273157.69,400137271,6287871,10000000,0.6287871,0.12,273157.69,400137271
274.8,259709.87,400137271,6258531,10000000,0.6258531,0.13,259709.87,400137271
294.4,246244.27,400137271,6229159,10000000,0.6229159,0.14,246244.27,400137271
314,232884.75,400137271,6200167,10000000,0.6200167,0.15,232884.75,400137271
333.6,219594.66,400137271,6171415,10000000,0.6171415,0.16,219594.66,400137271
353.2,206316.98,400137271,6142731,10000000,0.6142731,0.17,206316.98,400137271
372.8,193221.74,400137271,6114702,10000000,0.6114702,0.18,193221.74,400137271
392.4,180287.8,400137271,6086875,10000000,0.6086875,0.19,180287.8,400137271
412,167324.66,400137271,6059189,10000000,0.6059189,0.2,167324.66,400137271
431.6,154385.23,400137271,6031584,10000000,0.6031584,0.21,154385.23,400137271
451.2,141690.83,400137271,6004645,10000000,0.6004645,0.22,141690.83,400137271
470.8,129036.02,400137271,5977751,10000000,0.5977751,0.23,129036.02,400137271
490.4,116191.55,400137271,5950708,10000000,0.5950708,0.24,116191.55,400137271
510,103681.97,400137271,5924519,10000000,0.5924519,0.25,103681.97,400137271
529.6,91172.29,400137271,5898267,10000000,0.5898267,0.26,91172.29,400137271
549.2,78641.89,400137271,5871593,10000000,0.5871593,0.27,78641.89,400137271
568.8,66111.82,400137271,5845565,10000000,0.5845565,0.28,66111.82,400137271
588.4,53791.29,400137271,5820136,10000000,0.5820136,0.29,53791.29,400137271
608,41510.16,400137271,5794973,10000000,0.5794973,0.3,41510.16,400137271
627.6,29122.29,400137271,5769615,10000000,0.5769615,0.31,29122.29,400137271
647.2,16924.48,400137271,5744904,10000000,0.5744904,0.32,16924.48,400137271
666.8,4620.44,400137271,5719066,10000000,0.5719066,0.33,4620.44,400137271
686.4,60.6,400137271,4739412,10000000,0.4739412,0.34,60.6,400137271
706,24.23,400137271,3518293,10000000,0.3518293,0.35,24.23,400137271
725.6,15.79,400137271,2608819,10000000,0.2608819,0.36,15.79,400137271
745.2,11.96,400137271,1943995,10000000,0.1943995,0.37,11.96,400137271
764.8,9.72,400137271,1435085,10000000,0.1435085,0.38,9.72,400137271
784.4,8.29,400137271,1060559,10000000,0.1060559,0.39,8.29,400137271
804,7.32,400137271,781361,10000000,0.0781361,0.4,7.32,400137271
823.6,6.61,400137271,572236,10000000,0.0572236,0.41,6.61,400137271
843.2,6.09,400137271,421191,10000000,0.0421191,0.42,6.09,400137271
862.8,5.71,400137271,308647,10000000,0.0308647,0.43,5.71,400137271
882.4,5.41,400137271,229132,10000000,0.0229132,0.44,5.41,400137271
902,5.19,400137271,171757,10000000,0.0171757,0.45,5.19,400137271
921.6,5.02,400137271,129753,10000000,0.0129753,0.46,5.02,400137271
941.2,4.9,400137271,102341,10000000,0.0102341,0.47,4.9,400137271
960.8,4.81,400137271,83601,10000000,0.0083601,0.48,4.81,400137271
980.4,4.77,400137271,73668,10000000,0.0073668,0.49,4.77,400137271
1000,4.75,400137271,70955,10000000,0.0070955,0.5,4.75,400137271
1019.6,4.77,400137271,75181,10000000,0.0075181,0.51,4.77,400137271
1039.2,4.82,400137271,85704,10000000,0.0085704,0.52,4.82,400137271
1058.8,4.91,400137271,105389,10000000,0.0105389,0.53,4.91,400137271
1078.4,5.03,400137271,134685,10000000,0.0134685,0.54,5.03,400137271
1098,5.2,400137271,177098,10000000,0.0177098,0.55,5.2,400137271
1117.6,5.43,400137271,235658,10000000,0.0235658,0.56,5.43,400137271
1137.2,5.72,400137271,317131,10000000,0.0317131,0.57,5.72,400137271
1156.8,6.1,400137271,428418,10000000,0.0428418,0.58,6.1,400137271
1176.4,6.61,400137271,576554,10000000,0.0576554,0.59,6.61,400137271
1196,7.3,400137271,785333,10000000,0.0785333,0.6,7.3,400137271
1215.6,8.27,400137271,1067191,10000000,0.1067191,0.61,8.27,400137271
1235.2,9.68,400137271,1442587,10000000,0.1442587,0.62,9.68,400137271
1254.8,11.87,400137271,1954185,10000000,0.1954185,0.63,11.87,400137271
1274.4,15.58,400137271,2641850,10000000,0.264185,0.64,15.58,400137271
1294,24.22,400137271,3534617,10000000,0.3534617,0.65,24.22,400137271
1313.6,56.9,400137271,4715422,10000000,0.4715422,0.66,56.9,400137271
1333.2,4881.72,400137271,5715376,10000000,0.5715376,0.67,4881.72,400137271
1352.8,17143.78,400137271,5745378,10000000,0.5745378,0.68,17143.78,400137271
1372.4,29403.76,400137271,5770585,10000000,0.5770585,0.69,29403.76,400137271
1392,41845.81,400137271,5796072,10000000,0.5796072,0.7,41845.81,400137271
1411.6,54256.37,400137271,5821738,10000000,0.5821738,0.71,54256.37,400137271
