20,0.5,400137271,,1,1,20,,,20,0.5,,,20,0.5
20,0.5,4728394,,2,11,118,,,118,0.52,,,118,0.52
20,0.5,12950156,,3,21,216,,,216,0.53,,,216,0.53
20,0.5,1255,,4,31,314,,,314,0.55,,,314,0.55
20,0.5,1627,,5,41,412,,,412,0.563,,,412,0.563
20,0.5,136127,,6,51,510,,,510,0.59,,,510,0.59
20,0.5,3845648,,7,61,608,,,608,0.61,,,608,0.61
20,0.5,8834,,8,71,706,,,706,0.64,,,706,0.64
20,0.5,348734,,9,81,804,,,804,0.67,,,804,0.67
20,0.5,98,,10,91,902,,,902,0.705,,,902,0.705
118,0.52,400137271,,11,101,1000,,,1000,0.75,,,1000,0.75
118,0.52,4728394,,12,111,1098,,,1098,0.802,,,1098,0.802
118,0.52,12950156,,13,121,1196,,,1196,0.87,,,1196,0.87
118,0.52,1255,,14,131,1294,,,1294,0.957,,,1294,0.957
118,0.52,1627,,15,141,1392,,,1392,1.072,,,1392,1.072
118,0.52,136127,,16,151,1490,,,1490,1.228,,,1490,1.228
118,0.52,3845648,,17,161,1588,,,1588,1.46,,,1588,1.46
118,0.52,8834,,18,171,1686,,,1686,1.832,,,1686,1.832
118,0.52,348734,,19,181,1784,,,1784,2.543,,,1784,2.543
118,0.52,98,,20,191,1882,,,1882,4.435,,,1882,4.435
216,0.53,400137271,,21,201,1980,,,1980,23.821,,,1980,23.821
216,0.53,4728394,,,,,,,,,,,,
216,0.53,12950156,,,,,,,,,,,,
216,0.53,1255,,,,,,,,,,,,
216,0.53,1627,,,,,,,,,,,,
216,0.53,136127,,,,,,,,,,,,
216,0.53,3845648,,,,,,,,,,,,
216,0.53,8834,,,,,,,,,,,,
216,0.53,348734,,,,,,,,,,,,
216,0.53,98,,,,,,,,,,,,
314,0.55,400137271,,,,,,,,,,,,
314,0.55,4728394,,,,,,,,,,,,
314,0.55,12950156,,,,,,,,,,,,
314,0.55,1255,,,,,,,,,,,,
314,0.55,1627,,,,,,,,,,,,
314,0.55,136127,,,,,,,,,,,,
314,0.55,3845648,,,,,,,,,,,,
314,0.55,8834,,,,,,,,,,,,
314,0.55,348734,,,,,,,,,,,,
314,0.55,98,,,,,,,,,,,,
412,0.57,400137271,,,,,,,,,,,,
412,0.57,4728394,,,,,,,,,,,,
412,0.56,12950156,,,,,,,,,,,,
412,0.57,1255,,,,,,,,,,,,
412,0.56,1627,,,,,,,,,,,,
412,0.56,136127,,,,,,,,,,,,
412,0.56,3845648,,,,,,,,,,,,
412,0.56,8834,,,,,,,,,,,,
412,0.56,348734,,,,,,,,,,,,
412,0.56,98,,,,,,,,,,,,
510,0.59,400137271,,,,,,,,,,,,
510,0.59,4728394,,,,,,,,,,,,
510,0.59,12950156,,,,,,,,,,,,
510,0.59,1255,,,,,,,,,,,,
510,0.59,1627,,,,,,,,,,,,
510,0.59,136127,,,,,,,,,,,,
510,0.59,3845648,,,,,,,,,,,,
510,0.59,8834,,,,,,,,,,,,
510,0.59,348734,,,,,,,,,,,,
510,0.59,98,,,,,,,,,,,,
608,0.61,400137271,,,,,,,,,,,,
608,0.61,4728394,,,,,,,,,,,,
608,0.61,12950156,,,,,,,,,,,,
608,0.61,1255,,,,,,,,,,,,
608,0.61,1627,,,,,,,,,,,,
608,0.61,136127,,,,,,,,,,,,
608,0.61,3845648,,,,,,,,,,,,
608,0.61,8834,,,,,,,,,,,,
608,0.61,348734,,,,,,,,,,,,
608,0.61,98,,,,,,,,,,,,
706,0.64,400137271,,,,,,,,,,,,
706,0.64,4728394,,,,,,,,,,,,
706,0.64,12950156,,,,,,,,,,,,
706,0.64,1255,,,,,,,,,,,,
706,0.64,1627,,,,,,,,,,,,
706,0.64,136127,,,,,,,,,,,,
706,0.64,3845648,,,,,,,,,,,,
706,0.64,8834,,,,,,,,,,,,
706,0.64,348734,,,,,,,,,,,,
706,0.64,98,,,,,,,,,,,,
804,0.67,400137271,,,,,,,,,,,,
804,0.67,4728394,,,,,,,,,,,,
