20,4620.44,400137271,5719066,10000000,0.5719066,0.33,4620.44,400137271,,,p12,mean delay,seed
1196,4.89,400137271,100470,10000000,0.010047,0.528,4.89,400137271,,,0.5445,5.1,400137271
1215.6,4.92,400137271,108337,10000000,0.0108337,0.5313,4.92,400137271,,,0.5478,5.16,400137271
1235.2,4.96,400137271,117508,10000000,0.0117508,0.5346,4.96,400137271,,,0.5511,5.23,400137271
1254.8,5,400137271,127840,10000000,0.012784,0.5379,5,400137271,,,0.5544,5.3,400137271
1274.4,5.05,400137271,138700,10000000,0.01387,0.5412,5.05,400137271,,,0.5577,5.37,400137271
1294,5.1,400137271,151305,10000000,0.0151305,0.5445,5.1,400137271,,,0.561,5.46,400137271
1313.6,5.16,400137271,166598,10000000,0.0166598,0.5478,5.16,400137271,,,0.5643,5.55,400137271
1333.2,5.23,400137271,182741,10000000,0.0182741,0.5511,5.23,400137271,,,0.5676,5.65,400137271
1352.8,5.3,400137271,200051,10000000,0.0200051,0.5544,5.3,400137271,,,0.5709,5.75,400137271
1372.4,5.37,400137271,219974,10000000,0.0219974,0.5577,5.37,400137271,,,0.5742,5.87,400137271
1392,5.46,400137271,242177,10000000,0.0242177,0.561,5.46,400137271,,,0.5775,6,400137271
1411.6,5.55,400137271,267231,10000000,0.0267231,0.5643,5.55,400137271,,,0.5808,6.14,400137271
1431.2,5.65,400137271,295176,10000000,0.0295176,0.5676,5.65,400137271,,,0.5841,6.29,400137271
1450.8,5.75,400137271,325241,10000000,0.0325241,0.5709,5.75,400137271,,,0.5874,6.47,400137271
1470.4,5.87,400137271,359564,10000000,0.0359564,0.5742,5.87,400137271,,,0.5907,6.65,400137271
1490,6,400137271,396058,10000000,0.0396058,0.5775,6,400137271,,,0.594,6.86,400137271
1509.6,6.14,400137271,439799,10000000,0.0439799,0.5808,6.14,400137271,,,0.5973,7.09,400137271
1529.2,6.29,400137271,485446,10000000,0.0485446,0.5841,6.29,400137271,,,0.6006,7.34,400137271
1548.8,6.47,400137271,535242,10000000,0.0535242,0.5874,6.47,400137271,,,0.6039,7.64,400137271
1568.4,6.65,400137271,589975,10000000,0.0589975,0.5907,6.65,400137271,,,0.6072,7.97,400137271
1588,6.86,400137271,652161,10000000,0.0652161,0.594,6.86,400137271,,,0.6105,8.33,400137271
1607.6,7.09,400137271,723088,10000000,0.0723088,0.5973,7.09,400137271,,,0.6138,8.73,400137271
1627.2,7.34,400137271,798213,10000000,0.0798213,0.6006,7.34,400137271,,,0.6171,9.21,400137271
1646.8,7.64,400137271,887874,10000000,0.0887874,0.6039,7.64,400137271,,,0.6204,9.74,400137271
1666.4,7.97,400137271,982537,10000000,0.0982537,0.6072,7.97,400137271,,,0.6237,10.38,400137271
1686,8.33,400137271,1085436,10000000,0.1085436,0.6105,8.33,400137271,,,0.627,11.11,400137271
1705.6,8.73,400137271,1197208,10000000,0.1197208,0.6138,8.73,400137271,,,0.6303,11.96,400137271
1725.2,9.21,400137271,1323088,10000000,0.1323088,0.6171,9.21,400137271,,,0.6336,12.96,400137271
1744.8,9.74,400137271,1459350,10000000,0.145935,0.6204,9.74,400137271,,,0.6369,14.16,400137271
1764.4,10.38,400137271,1616369,10000000,0.1616369,0.6237,10.38,400137271,,,0.6402,15.69,400137271
1784,11.11,400137271,1787083,10000000,0.1787083,0.627,11.11,400137271,,,0.6435,17.67,400137271
1803.6,11.96,400137271,1972574,10000000,0.1972574,0.6303,11.96,400137271,,,0.6468,20.42,400137271
1823.2,12.96,400137271,2176905,10000000,0.2176905,0.6336,12.96,400137271,,,0.6501,24.32,400137271
1842.8,14.16,400137271,2404777,10000000,0.2404777,0.6369,14.16,400137271,,,,,
1862.4,15.69,400137271,2658953,10000000,0.2658953,0.6402,15.69,400137271,,,,,
1882,17.67,400137271,2927626,10000000,0.2927626,0.6435,17.67,400137271,,,,,
1901.6,20.42,400137271,3222793,10000000,0.3222793,0.6468,20.42,400137271,,,,,
1921.2,24.32,400137271,3543105,10000000,0.3543105,0.6501,24.32,400137271,,,,,
1940.8,30.21,400137271,3904201,10000000,0.3904201,0.6534,30.21,400137271,,,,,
1960.4,39.55,400137271,4298401,10000000,0.4298401,0.6567,39.55,400137271,,,,,
1980,56.9,400137271,4715422,10000000,0.4715422,0.66,56.9,400137271,,,,,
