20,3.12,400137271,12075,10000000,0.0012075,0,,,,,0,3.12,400137271
39.7979798,3.05,400137271,9951,10000000,0.0009951,0.01,,,,,0.01,3.05,400137271
59.5959596,2.99,400137271,8256,10000000,0.0008256,0.02,,,,,0.02,2.99,400137271
79.3939394,2.93,400137271,6702,10000000,0.0006702,0.03,,,,,0.03,2.93,400137271
99.1919192,2.87,400137271,5646,10000000,0.0005646,0.04,,,,,0.04,2.87,400137271
118.989899,2.82,400137271,4525,10000000,0.0004525,0.05,,,,,0.05,2.82,400137271
138.7878788,2.77,400137271,3680,10000000,0.000368,0.06,,,,,0.06,2.77,400137271
158.5858586,2.72,400137271,2992,10000000,0.0002992,0.07,,,,,0.07,2.72,400137271
178.3838384,2.67,400137271,2503,10000000,0.0002503,0.08,,,,,0.08,2.67,400137271
198.1818182,2.63,400137271,2098,10000000,0.0002098,0.09,,,,,0.09,2.63,400137271
217.979798,2.59,400137271,1670,10000000,0.000167,0.1,,,,,0.1,2.59,400137271
237.7777778,2.55,400137271,1347,10000000,0.0001347,0.11,,,,,0.11,2.55,400137271
257.5757576,2.51,400137271,1094,10000000,0.0001094,0.12,,,,,0.12,2.51,400137271
277.3737374,2.48,400137271,935,10000000,0.0000935,0.13,,,,,0.13,2.48,400137271
297.1717172,2.45,400137271,803,10000000,0.0000803,0.14,,,,,0.14,2.45,400137271
316.969697,2.42,400137271,706,10000000,0.0000706,0.15,,,,,0.15,2.42,400137271
336.7676768,2.39,400137271,596,10000000,0.0000596,0.16,,,,,0.16,2.39,400137271
356.5656566,2.36,400137271,516,10000000,0.0000516,0.17,,,,,0.17,2.36,400137271
376.3636364,2.34,400137271,466,10000000,0.0000466,0.18,,,,,0.18,2.34,400137271
396.1616162,2.31,400137271,371,10000000,0.0000371,0.19,,,,,0.19,2.31,400137271
415.959596,2.29,400137271,319,10000000,0.0000319,0.2,,,,,0.2,2.29,400137271
435.7575758,2.27,400137271,280,10000000,0.000028,0.21,,,,,0.21,2.27,400137271
455.5555556,2.25,400137271,239,10000000,0.0000239,0.22,,,,,0.22,2.25,400137271
475.3535354,2.23,400137271,222,10000000,0.0000222,0.23,,,,,0.23,2.23,400137271
495.1515152,2.21,400137271,205,10000000,0.0000205,0.24,,,,,0.24,2.21,400137271
514.9494949,2.19,400137271,187,10000000,0.0000187,0.25,,,,,0.25,2.19,400137271
534.7474747,2.17,400137271,152,10000000,0.0000152,0.26,,,,,0.26,2.17,400137271
554.5454545,2.16,400137271,126,10000000,0.0000126,0.27,,,,,0.27,2.16,400137271
574.3434343,2.14,400137271,108,10000000,0.0000108,0.28,,,,,0.28,2.14,400137271
594.1414141,2.13,400137271,89,10000000,0.0000089,0.29,,,,,0.29,2.13,400137271
613.9393939,2.12,400137271,80,10000000,0.000008,0.3,,,,,0.3,2.12,400137271
633.7373737,2.1,400137271,76,10000000,0.0000076,0.31,,,,,0.31,2.1,400137271
653.5353535,2.09,400137271,57,10000000,0.0000057,0.32,,,,,0.32,2.09,400137271
673.3333333,2.08,400137271,34,10000000,0.0000034,0.33,,,,,0.33,2.08,400137271
693.1313131,2.07,400137271,23,10000000,0.0000023,0.34,,,,,0.34,2.07,400137271
712.9292929,2.06,400137271,14,10000000,0.0000014,0.35,,,,,0.35,2.06,400137271
732.7272727,2.05,400137271,3,10000000,0.0000003,0.36,,,,,0.36,2.05,400137271
752.5252525,2.04,400137271,1,10000000,0.0000001,0.37,,,,,0.37,2.04,400137271
772.3232323,2.04,400137271,1,10000000,0.0000001,0.38,,,,,0.38,2.04,400137271
792.1212121,2.03,400137271,0,10000000,0,0.39,,,,,0.39,2.03,400137271
811.9191919,2.02,400137271,0,10000000,0,0.4,,,,,0.4,2.02,400137271
831.7171717,2.02,400137271,0,10000000,0,0.41,,,,,0.41,2.02,400137271
851.5151515,2.01,400137271,0,10000000,0,0.42,,,,,0.42,2.01,400137271
871.3131313,2.01,400137271,0,10000000,0,0.43,,,,,0.43,2.01,400137271
891.1111111,2.01,400137271,0,10000000,0,0.44,,,,,0.44,2.01,400137271
910.9090909,2,400137271,0,10000000,0,0.45,,,,,0.45,2,400137271
930.7070707,2,400137271,0,10000000,0,0.46,,,,,0.46,2,400137271
950.5050505,2,400137271,0,10000000,0,0.47,,,,,0.47,2,400137271
970.3030303,2,400137271,0,10000000,0,0.48,,,,,0.48,2,400137271
990.1010101,2,400137271,0,10000000,0,0.49,,,,,0.49,2,400137271
1009.89899,2,400137271,0,10000000,0,0.5,,,,,0.5,2,400137271
1029.69697,2,400137271,0,10000000,0,0.51,,,,,0.51,2,400137271
1049.49495,2,400137271,0,10000000,0,0.52,,,,,0.52,2,400137271
1069.292929,2,400137271,0,10000000,0,0.53,,,,,0.53,2,400137271
1089.090909,2,400137271,0,10000000,0,0.54,,,,,0.54,2,400137271
1108.888889,2,400137271,0,10000000,0,0.55,,,,,0.55,2,400137271
1128.686869,2.01,400137271,0,10000000,0,0.56,,,,,0.56,2.01,400137271
1148.484849,2.01,400137271,0,10000000,0,0.57,,,,,0.57,2.01,400137271
1168.282828,2.01,400137271,0,10000000,0,0.58,,,,,0.58,2.01,400137271
1188.080808,2.02,400137271,0,10000000,0,0.59,,,,,0.59,2.02,400137271
1207.878788,2.02,400137271,0,10000000,0,0.6,,,,,0.6,2.02,400137271
1227.676768,2.03,400137271,0,10000000,0,0.61,,,,,0.61,2.03,400137271
1247.474748,2.04,400137271,0,10000000,0,0.62,,,,,0.62,2.04,400137271
