Seed,Arrival Rate,"(0.50,1)","(5.25,1)","(10.00,1)","(0.50,5)","(5.25,5)","(10.00,5)","(0.50,9)","(5.25,9)","(10.00,9)","(0.50,13)","(5.25,13)","(10.00,13)"
400137271,0.1,0.427719353,1.962475439,2.415326365,0,0,0,0,0,0,0,0,0
400137271,0.303061225,0.430640368,2.08684864,2.672415026,0.186114555,0.338480672,0.364239403,0,0,0,0,0,0
400137271,0.506122449,0.430083997,2.20921249,2.951211506,0.283440852,0.601654239,0.668235797,0,0,0,0,0,0
400137271,0.709183674,0.431096676,2.330184928,3.248241268,0.280238166,0.6102383,0.66562226,0,0,0,0,0,0
400137271,0.912244898,0.432229485,2.463024912,3.578986241,0.266160677,0.592818811,0.655028959,0.154394039,0.339058458,0.339058458,0,0,0
400137271,1.115306122,0.433119054,2.582963424,3.908688508,0.281153247,0.63799535,0.691640013,0.113139953,0.243213342,0.243213342,0,0,0
400137271,1.318367347,0.434499845,2.711029101,4.251728529,0.285417223,0.66210175,0.723642245,0.225047776,0.30621765,0.30621765,0,0,0
400137271,1.521428571,0.435199217,2.834239503,4.60423606,0.285113067,0.692469708,0.764760923,0.206918025,0.364029717,0.364029717,0,0,0
400137271,1.724489796,0.436018901,2.955707353,4.950975203,0.286685948,0.71365041,0.79137068,0.19204495,0.330149054,0.336853854,0,0,0
400137271,1.92755102,0.437016791,3.073038429,5.285990773,0.286370002,0.731777975,0.82407696,0.21171357,0.402016062,0.431336889,0,0,0
400137271,2.130612245,0.437282757,3.180315532,5.598034273,0.290004714,0.764625103,0.865622536,0.220684653,0.40102458,0.423454872,0,0,0
400137271,2.333673469,0.438165307,3.293780417,5.898445883,0.289578848,0.785841128,0.895796578,0.219907704,0.431983124,0.44928379,0,0,0
400137271,2.536734694,0.43940557,3.392274397,6.168302837,0.290117219,0.812227307,0.938677506,0.226522036,0.41642589,0.449700065,0,0,0
400137271,2.739795918,0.440066038,3.486169487,6.42223615,0.291736335,0.842163811,0.99682545,0.215979169,0.423904858,0.445370448,0.083728184,0.083728184,0.083728184
400137271,2.942857143,0.440720451,3.578876972,6.645578141,0.293830242,0.874927571,1.038063426,0.219020272,0.440506747,0.464961252,0.179473684,0.263504482,0.266455535
400137271,3.145918367,0.441498105,3.667152507,6.846083511,0.295063718,0.911770898,1.095676144,0.218158547,0.438411156,0.468037514,0.169049082,0.311640394,0.314917715
400137271,3.348979592,0.442522822,3.744915079,7.031980182,0.296346349,0.944519855,1.159332191,0.218735919,0.449776296,0.479929742,0.190489683,0.383999362,0.388406793
400137271,3.552040816,0.443373242,3.820021023,7.202785435,0.298181771,0.980017825,1.212558576,0.22349315,0.449445299,0.482290969,0.154740861,0.28820972,0.29865843
400137271,3.755102041,0.443820648,3.88644631,7.348864304,0.300395265,1.014504807,1.284032175,0.22339856,0.469971544,0.5087117,0.163428414,0.25911092,0.286765643
400137271,3.958163265,0.444731794,3.951526112,7.473814435,0.302761208,1.059763913,1.361442596,0.219595291,0.479625446,0.526640698,0.171942118,0.294292054,0.314263134
400137271,4.16122449,0.445477972,4.00698639,7.589238149,0.30245218,1.09951509,1.435972556,0.221099529,0.492386183,0.540445472,0.189957986,0.288322189,0.315759205
400137271,4.364285714,0.44590528,4.058753273,7.713726015,0.303087875,1.139562931,1.525548487,0.225867274,0.513006065,0.566901642,0.170337213,0.300644765,0.318539248
400137271,4.567346939,0.446541725,4.109182088,7.816459334,0.304942652,1.185365941,1.609936585,0.226554124,0.523376671,0.582646345,0.172563159,0.316620866,0.334918673
400137271,4.770408163,0.447336106,4.155197188,7.906566647,0.305296885,1.229726858,1.707912763,0.225446286,0.531260548,0.592887423,0.182032581,0.321295056,0.337513875
400137271,4.973469388,0.447991335,4.197927452,7.992558409,0.307871931,1.284372623,1.812667624,0.230184231,0.545283035,0.611836139,0.186097054,0.341029025,0.357252821
400137271,5.176530612,0.448417951,4.239610083,8.074388371,0.309278566,1.331989058,1.919282144,0.23121901,0.562417997,0.637971401,0.181638227,0.344741776,0.366223993
400137271,5.379591837,0.449074675,4.278521747,8.142542971,0.310098887,1.384526248,2.035543161,0.231897823,0.574331217,0.656794738,0.184810238,0.350331299,0.372124883
400137271,5.582653061,0.450029939,4.313799851,8.207073246,0.311893304,1.434399204,2.161123343,0.233213836,0.585767852,0.672375457,0.180133376,0.351097705,0.375096282
400137271,5.785714286,0.450583457,4.342341963,8.268904834,0.313725632,1.484201814,2.274464621,0.233529149,0.608562184,0.702333029,0.180438987,0.356836886,0.380221388
400137271,5.98877551,0.45099078,4.375879697,8.326672756,0.314611397,1.550037616,2.410118398,0.23518028,0.621950346,0.727807797,0.182533643,0.362205401,0.389411562
400137271,6.191836735,0.45159583,4.397613939,8.387770156,0.315051112,1.597067718,2.539007211,0.236726288,0.645759508,0.762746949,0.185311502,0.364135349,0.392981275
400137271,6.394897959,0.452295037,4.42719322,8.44158481,0.316631799,1.653191948,2.680234265,0.237863934,0.663382658,0.792170505,0.187963012,0.377194271,0.409890688
400137271,6.597959184,0.452685636,4.454662929,8.48896562,0.318492632,1.716009446,2.830827594,0.239069534,0.68591246,0.828974198,0.190860933,0.392237016,0.424171067
400137271,6.801020408,0.453443007,4.473855887,8.533295262,0.320235737,1.76779446,2.981573915,0.240364857,0.710629793,0.860123476,0.189324254,0.388902177,0.422226452
400137271,7.004081633,0.453701031,4.496802799,8.574632919,0.320740066,1.827240532,3.111332949,0.241419203,0.731801699,0.898929882,0.191248132,0.391865221,0.425964939
400137271,7.207142857,0.454443372,4.521826393,8.616552379,0.322496711,1.888691024,3.261573061,0.241770488,0.748420299,0.937680552,0.192302552,0.404451638,0.442598962
400137271,7.410204082,0.455066887,4.538769256,8.654251177,0.323519368,1.948594971,3.396454765,0.243726631,0.773437413,0.982548272,0.19266302,0.406661992,0.446239812
400137271,7.613265306,0.455454885,4.560421321,8.690881099,0.325426113,2.005132017,3.546507429,0.24491902,0.797982532,1.020147548,0.194271467,0.422977013,0.465731155
400137271,7.816326531,0.456209216,4.579615277,8.724461629,0.326445957,2.058864814,3.700613337,0.246553764,0.818896232,1.057882022,0.19434575,0.433863344,0.484236674
400137271,8.019387755,0.456744765,4.596405471,8.757232474,0.327980738,2.119947336,3.836100097,0.246130388,0.84626383,1.112500977,0.195847877,0.445191889,0.496585701
400137271,8.22244898,0.457168007,4.611892894,8.786154448,0.329070467,2.178258799,3.970309196,0.248297687,0.866551418,1.171568122,0.196948473,0.455208356,0.512982711
400137271,8.425510204,0.457762386,4.626928254,8.815817953,0.330184864,2.235997682,4.103860784,0.2502133,0.897932012,1.213872826,0.199317305,0.462786843,0.52270693
