random seed,call arrival count,blocked call count,Blocking probability,Service fraction,Offered Load,trunks,theoretical_erlang_B,,,,,,,trunks,Blocking probability,Offered Load
400137271,2045,41,0.0200488998,0.97995,3.0000000000,7,0.0218643153,,,,,,,7,0.0200488998,3.0000000000
400137271,2025,23,0.0113580247,0.98864,3.0000000000,8,0.0081324394,,,,,,,8,0.0113580247,3.0000000000
400137271,2007,3,0.0014947683,0.99851,3.0000000000,9,0.0027034845,,,,,,,9,0.0014947683,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,10,0.0008103881,,,,,,,10,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,11,0.0002209661,,,,,,,11,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,12,0.0000552385,,,,,,,12,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,13,0.0000127472,,,,,,,13,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,14,0.0000027315,,,,,,,14,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,15,0.0000005463,,,,,,,15,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,16,0.0000001024,,,,,,,16,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,17,0.0000000181,,,,,,,17,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,18,0.0000000030,,,,,,,18,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,19,0.0000000005,,,,,,,19,0.0000000000,3.0000000000
400137271,2004,0,0.0000000000,1.00000,3.0000000000,20,0.0000000001,,,,,,,20,0.0000000000,3.0000000000
400137271,10128,8128,0.8025276461,0.19747,4.0000000000,1,0.8000000000,,,,,,,1,0.8025276461,4.0000000000
400137271,5464,3463,0.6337847731,0.36622,4.0000000000,2,0.6153846154,,,,,,,2,0.6337847731,4.0000000000
400137271,3768,1767,0.4689490446,0.53105,4.0000000000,3,0.4507042254,,,,,,,3,0.4689490446,4.0000000000
400137271,2915,912,0.3128644940,0.68714,4.0000000000,4,0.3106796117,,,,,,,4,0.3128644940,4.0000000000
400137271,2460,457,0.1857723577,0.81423,4.0000000000,5,0.1990668740,,,,,,,5,0.1857723577,4.0000000000
400137271,2258,253,0.1120460585,0.88795,4.0000000000,6,0.1171624714,,,,,,,6,0.1120460585,4.0000000000
400137271,2139,135,0.0631136045,0.93689,4.0000000000,7,0.0627489429,,,,,,,7,0.0631136045,4.0000000000
400137271,2059,55,0.0267119961,0.97329,4.0000000000,8,0.0304200582,,,,,,,8,0.0267119961,4.0000000000
400137271,2044,39,0.0190802348,0.98092,4.0000000000,9,0.0133396732,,,,,,,9,0.0190802348,4.0000000000
400137271,2023,19,0.0093919921,0.99061,4.0000000000,10,0.0053075489,,,,,,,10,0.0093919921,4.0000000000
400137271,2008,2,0.0009960159,0.99900,4.0000000000,11,0.0019263000,,,,,,,11,0.0009960159,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,12,0.0006416880,,,,,,,12,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,13,0.0001974035,,,,,,,13,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,14,0.0000563978,,,,,,,14,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,15,0.0000150392,,,,,,,15,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,16,0.0000037598,,,,,,,16,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,17,0.0000008847,,,,,,,17,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,18,0.0000001966,,,,,,,18,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,19,0.0000000414,,,,,,,19,0.0000000000,4.0000000000
400137271,2006,0,0.0000000000,1.00000,4.0000000000,20,0.0000000083,,,,,,,20,0.0000000000,4.0000000000
400137271,12260,10260,0.8368678630,0.16313,5.0000000000,1,0.8333333333,,,,,,,1,0.8368678630,5.0000000000
400137271,6513,4512,0.6927683095,0.30723,5.0000000000,2,0.6756756757,,,,,,,2,0.6927683095,5.0000000000
400137271,4380,2379,0.5431506849,0.45685,5.0000000000,3,0.5296610169,,,,,,,3,0.5431506849,5.0000000000
400137271,3383,1380,0.4079219628,0.59208,5.0000000000,4,0.3983428936,,,,,,,4,0.4079219628,5.0000000000
400137271,2802,798,0.2847965739,0.71520,5.0000000000,5,0.2848678213,,,,,,,5,0.2847965739,5.0000000000
400137271,2461,459,0.1865095490,0.81349,5.0000000000,6,0.1918472589,,,,,,,6,0.1865095490,5.0000000000
400137271,2329,325,0.1395448690,0.86046,5.0000000000,7,0.1205186351,,,,,,,7,0.1395448690,5.0000000000
400137271,2146,143,0.0666356011,0.93336,5.0000000000,8,0.0700478522,,,,,,,8,0.0666356011,5.0000000000
400137271,2073,68,0.0328027014,0.96720,5.0000000000,9,0.0374577860,,,,,,,9,0.0328027014,5.0000000000
400137271,2052,48,0.0233918129,0.97661,5.0000000000,10,0.0183845703,,,,,,,10,0.0233918129,5.0000000000
400137271,2014,9,0.0044687190,0.99553,5.0000000000,11,0.0082873685,,,,,,,11,0.0044687190,5.0000000000
400137271,2009,5,0.0024888004,0.99751,5.0000000000,12,0.0034411875,,,,,,,12,0.0024888004,5.0000000000
400137271,2007,3,0.0014947683,0.99851,5.0000000000,13,0.0013217842,,,,,,,13,0.0014947683,5.0000000000
400137271,2008,0,0.0000000000,1.00000,5.0000000000,14,0.0004718431,,,,,,,14,0.0000000000,5.0000000000
400137271,2008,0,0.0000000000,1.00000,5.0000000000,15,0.0001572563,,,,,,,15,0.0000000000,5.0000000000
400137271,2008,0,0.0000000000,1.00000,5.0000000000,16,0.0000491402,,,,,,,16,0.0000000000,5.0000000000
400137271,2008,0,0.0000000000,1.00000,5.0000000000,17,0.0000144528,,,,,,,17,0.0000000000,5.0000000000
400137271,2008,0,0.0000000000,1.00000,5.0000000000,18,0.0000040146,,,,,,,18,0.0000000000,5.0000000000
400137271,2008,0,0.0000000000,1.00000,5.0000000000,19,0.0000010565,,,,,,,19,0.0000000000,5.0000000000
400137271,2008,0,0.0000000000,1.00000,5.0000000000,20,0.0000002641,,,,,,,20,0.0000000000,5.0000000000
400137271,13802,11802,0.8550934647,0.14491,6.0000000000,1,0.8571428571,,,,,,,1,0.8550934647,6.0000000000
400137271,7119,5118,0.7189211968,0.28108,6.0000000000,2,0.7200000000,,,,,,,2,0.7189211968,6.0000000000
400137271,5133,3131,0.6099746737,0.39003,6.0000000000,3,0.5901639344,,,,,,,3,0.6099746737,6.0000000000
400137271,3826,1824,0.4767381077,0.52326,6.0000000000,4,0.4695652174,,,,,,,4,0.4767381077,6.0000000000
400137271,3160,1159,0.3667721519,0.63323,6.0000000000,5,0.3604004449,,,,,,,5,0.3667721519,6.0000000000
400137271,2812,809,0.2876955903,0.71230,6.0000000000,6,0.2649223222,,,,,,,6,0.2876955903,6.0000000000
