Seed,Arrival Rate,"(0.50,1)","(5.25,1)","(10.00,1)","(0.50,5)","(5.25,5)","(10.00,5)","(0.50,9)","(5.25,9)","(10.00,9)","(0.50,13)","(5.25,13)","(10.00,13)","(0.50,17)","(5.25,17)","(10.00,17)",,,,,,,,,,,,,,,,,,,,
400137271,1,1.313482162,0.17923731,0.096732399,0.503956834,0.145514017,0.08607945,0.637366839,0.164091383,0.111522191,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
400137271,2,1.415945017,0.179697179,0.096860418,0.562299986,0.146678772,0.086305807,0.347758273,0.124283486,0.079147563,0.021539567,0.002051387,0.001076978,0,0,0,,,,,,,,,,,,,,,,,,,,
400137271,3,1.502965831,0.180017109,0.096898071,0.617423562,0.147193798,0.086151042,0.354838155,0.123701051,0.077007298,0.228734631,0.111393879,0.084962099,0,0,0,,,,,,,,,,,,,,,,,,,,
400137271,4,1.576475295,0.180341336,0.09694373,0.678207234,0.148176834,0.086398562,0.383297543,0.125221719,0.077809005,0.271892495,0.111042511,0.071376999,0.362740932,0.179211329,0.116881739,,,,,,,,,,,,,,,,,,,,
400137271,5,1.635174934,0.180605209,0.096997647,0.743113542,0.149022462,0.086586381,0.417645705,0.126222405,0.077738705,0.278724077,0.109795338,0.072481464,0.24631627,0.101195141,0.070146282,,,,,,,,,,,,,,,,,,,,
400137271,6,1.683469096,0.180881177,0.09703829,0.811191394,0.149887758,0.086771795,0.454825376,0.127208175,0.078167054,0.299843687,0.110343451,0.071201061,0.218235473,0.093727606,0.065108992,,,,,,,,,,,,,,,,,,,,
400137271,7,1.722529388,0.181104454,0.097078862,0.880725345,0.150654155,0.086891178,0.493663355,0.128519035,0.078473385,0.319004219,0.110848745,0.071214922,0.232843896,0.098920074,0.066492531,,,,,,,,,,,,,,,,,,,,
400137271,8,1.754024493,0.181325989,0.097134694,0.949004383,0.151446064,0.087066559,0.534562066,0.12947116,0.07894104,0.346229985,0.112469065,0.071974386,0.250554853,0.099257611,0.065506352,,,,,,,,,,,,,,,,,,,,
400137271,9,1.779705936,0.181550371,0.097187417,1.017091485,0.152434224,0.087320746,0.578535243,0.130460559,0.079075854,0.368535517,0.113555583,0.072144074,0.260973737,0.100230164,0.066228683,,,,,,,,,,,,,,,,,,,,
400137271,10,1.800724719,0.181780367,0.097192874,1.080502246,0.153126481,0.087431109,0.626306371,0.131559434,0.079349156,0.396759607,0.114647489,0.072432944,0.278371712,0.101191156,0.066841222,,,,,,,,,,,,,,,,,,,,
400137271,11,1.818442881,0.182069708,0.097257028,1.142761693,0.153967197,0.087646924,0.675294524,0.13239714,0.079553931,0.424850742,0.115607578,0.072781332,0.294762036,0.102018647,0.066746747,,,,,,,,,,,,,,,,,,,,
400137271,12,1.833097123,0.182296618,0.097292763,1.198798926,0.154644885,0.0877949,0.726448067,0.133303352,0.079779053,0.458982546,0.116509403,0.073022313,0.313539983,0.103398921,0.067350355,,,,,,,,,,,,,,,,,,,,
