Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)"
400137271,0.5462727273,0.6313853550,1.0369108326,1.5329389517,0.7594370869,1.1929568992,1.7155783550,0.8918044496,1.3644326581,1.8623402365,0.6450092394,1.0769176567,1.6437383304,0.7780546948,1.2490493638,1.8634473834,0.9216401012,1.4408740800,2.0377195342
400137271,0.5765656566,0.6736551233,1.0890194004,1.5959793526,0.8033622696,1.2440422340,1.7775923949,0.9410945498,1.4143993787,1.9283933167,0.6887494399,1.1369350417,1.7145038852,0.8268923157,1.3102469170,1.9336202622,0.9710906273,1.5031689923,2.1404738605
400137271,0.6068585859,0.7156977151,1.1385061242,1.6544525950,0.8477184293,1.3006819083,1.8434633618,0.9871559272,1.4751721414,1.9163201913,0.7328836033,1.1876508338,1.7826092220,0.8726928803,1.3689812552,1.9674298704,1.0230344504,1.5675747481,2.1557199041
400137271,0.6371515152,0.7594370869,1.1929568992,1.7155783550,0.8918044496,1.3644326581,1.8623402365,1.0369108326,1.5329389517,2.0186616485,0.7780546948,1.2490493638,1.8634473834,0.9216401012,1.4408740800,2.0377195342,1.0769176567,1.6437383304,2.2056655646
400137271,0.6674444444,0.8033622696,1.2440422340,1.7775923949,0.9410945498,1.4143993787,1.9283933167,1.0890194004,1.5959793526,2.0240903884,0.8268923157,1.3102469170,1.9336202622,0.9710906273,1.5031689923,2.1404738605,1.1369350417,1.7145038852,2.2043691385
400137271,0.6977373737,0.8477184293,1.3006819083,1.8434633618,0.9871559272,1.4751721414,1.9163201913,1.1385061242,1.6544525950,1.9050812747,0.8726928803,1.3689812552,1.9674298704,1.0230344504,1.5675747481,2.1557199041,1.1876508338,1.7826092220,2.2426482884
400137271,0.7280303030,0.8918044496,1.3644326581,1.8623402365,1.0369108326,1.5329389517,2.0186616485,1.1929568992,1.7155783550,2.0196759922,0.9216401012,1.4408740800,2.0377195342,1.0769176567,1.6437383304,2.2056655646,1.2490493638,1.8634473834,2.1135478362
400137271,0.7583232323,0.9410945498,1.4143993787,1.9283933167,1.0890194004,1.5959793526,2.0240903884,1.2440422340,1.7775923949,2.0575232902,0.9710906273,1.5031689923,2.1404738605,1.1369350417,1.7145038852,2.2043691385,1.3102469170,1.9336202622,2.2126758496
400137271,0.7886161616,0.9871559272,1.4751721414,1.9163201913,1.1385061242,1.6544525950,1.9050812747,1.3006819083,1.8434633618,2.0478270376,1.0230344504,1.5675747481,2.1557199041,1.1876508338,1.7826092220,2.2426482884,1.3689812552,1.9674298704,2.2817353802
400137271,0.8189090909,1.0369108326,1.5329389517,2.0186616485,1.1929568992,1.7155783550,2.0196759922,1.3644326581,1.8623402365,1.8435093604,1.0769176567,1.6437383304,2.2056655646,1.2490493638,1.8634473834,2.1135478362,1.4408740800,2.0377195342,2.2569721773
