Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)",,,Seed,arrival rate,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(BEB,5,1.00,0.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)",,,,,,"(3,5,0.50,0.50)","(3,5,0.50,2.00)","(3,5,0.50,3.50)","(3,5,1.00,0.50)","(3,5,1.00,2.00)","(3,5,1.00,3.50)","(3,5,1.50,0.50)","(3,5,1.50,2.00)","(3,5,1.50,3.50)","(3,10,0.50,0.50)","(3,10,0.50,2.00)","(3,10,0.50,3.50)","(3,10,1.00,0.50)","(3,10,1.00,2.00)","(3,10,1.00,3.50)","(3,10,1.50,0.50)","(3,10,1.50,2.00)","(3,10,1.50,3.50)",,,,,Seed,arrival rate,"(3,5)","(3,10)",,,Seed,arrival rate,"(BEB,5)","(BEB,10)"
400137271,0.001,0.000499673,0.136934243,0.272824432,0.04583888,0.182286939,0.318929676,0.091481058,0.227902387,0.363866985,0.000499793,0.136912318,0.27286185,0.045846423,0.182512004,0.318203519,0.09141212,0.227464004,0.363588517,,,400137271,0.001,0.880316145,1.076332176,1.412493943,0.934869722,1.166605481,1.593561074,0.999656885,1.276183068,1.844599699,0.880466411,1.084161133,1.443887518,0.938845574,1.175186159,1.61686721,1.005121217,1.291430274,1.837112175,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.001,0.001001,0.001001,,,400137271,0.001,1.524142,1.524705
400137271,0.031292929,0.015615079,0.152491062,0.288019718,0.060993706,0.197394772,0.33386118,0.106594765,0.24261927,0.379028266,0.015624365,0.15209644,0.28846582,0.061131355,0.197570608,0.333643449,0.106435286,0.243315638,0.378642814,,,400137271,0.031292929,0.897555611,1.105405221,1.464401908,0.955337107,1.196207516,1.66943753,1.023604728,1.309233758,1.926445035,0.899157586,1.1125986,1.477132799,0.960566311,1.208835169,1.702474852,1.030304502,1.325350621,1.95821059,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.011091,0.011088,0.011073,,,400137271,0.011091,1.569146,1.574408
400137271,0.061585859,0.030692357,0.167429753,0.30372605,0.076195113,0.212460393,0.348913006,0.121725398,0.257313782,0.393570874,0.030717637,0.167176797,0.304048909,0.076144275,0.21220182,0.349123123,0.121665518,0.258038432,0.393290999,,,400137271,0.061585859,0.916082646,1.133775311,1.539219112,0.976696478,1.233085329,1.722421354,1.047812172,1.363476116,2.059344034,0.918488641,1.142791879,1.545350736,0.982944524,1.246352748,1.865655763,1.057894647,1.376091422,2.343663709,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.021182,0.02117,0.021172,,,400137271,0.021182,1.616643,1.626047
400137271,0.091878788,0.04583888,0.182286939,0.318929676,0.091481058,0.227902387,0.363866985,0.136934243,0.272824432,0.40874876,0.045846423,0.182512004,0.318203519,0.09141212,0.227464004,0.363588517,0.136912318,0.27286185,0.409170537,,,400137271,0.091878788,0.934869722,1.166605481,1.593561074,0.999656885,1.276183068,1.844599699,1.076332176,1.412493943,2.318485906,0.938845574,1.175186159,1.61686721,1.005121217,1.291430274,1.837112175,1.084161133,1.443887518,2.246383259,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.031273,0.031308,0.031301,,,400137271,0.031273,1.665963,1.679987
400137271,0.122171717,0.060993706,0.197394772,0.33386118,0.106594765,0.24261927,0.379028266,0.152491062,0.288019718,0.425403504,0.061131355,0.197570608,0.333643449,0.106435286,0.243315638,0.378642814,0.15209644,0.28846582,0.42505488,,,400137271,0.122171717,0.955337107,1.196207516,1.66943753,1.023604728,1.309233758,1.926445035,1.105405221,1.464401908,2.434958864,0.960566311,1.208835169,1.702474852,1.030304502,1.325350621,1.95821059,1.1125986,1.477132799,2.484103489,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.041364,0.041416,0.041403,,,400137271,0.041364,1.722736,1.745941
400137271,0.152464647,0.076195113,0.212460393,0.348913006,0.121725398,0.257313782,0.393570874,0.167429753,0.30372605,0.439301433,0.076144275,0.21220182,0.349123123,0.121665518,0.258038432,0.393290999,0.167176797,0.304048909,0.438395647,,,400137271,0.152464647,0.976696478,1.233085329,1.722421354,1.047812172,1.363476116,2.059344034,1.133775311,1.539219112,2.581123487,0.982944524,1.246352748,1.865655763,1.057894647,1.376091422,2.343663709,1.142791879,1.545350736,4.433785461,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.051455,0.051475,0.051509,,,400137271,0.051455,1.782637,1.805193
400137271,0.182757576,0.091481058,0.227902387,0.363866985,0.136934243,0.272824432,0.40874876,0.182286939,0.318929676,0.454619652,0.09141212,0.227464004,0.363588517,0.136912318,0.27286185,0.409170537,0.182512004,0.318203519,0.45444418,,,400137271,0.182757576,0.999656885,1.276183068,1.844599699,1.076332176,1.412493943,2.318485906,1.166605481,1.593561074,2.719397764,1.005121217,1.291430274,1.837112175,1.084161133,1.443887518,2.246383259,1.175186159,1.61686721,2.87231922,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.061545,0.061603,0.061508,,,400137271,0.061545,1.843272,1.876194
400137271,0.213050505,0.106594765,0.24261927,0.379028266,0.152491062,0.288019718,0.425403504,0.197394772,0.33386118,0.469392467,0.106435286,0.243315638,0.378642814,0.15209644,0.28846582,0.42505488,0.197570608,0.333643449,0.469873288,,,400137271,0.213050505,1.023604728,1.309233758,1.926445035,1.105405221,1.464401908,2.434958864,1.196207516,1.66943753,3.011772661,1.030304502,1.325350621,1.95821059,1.1125986,1.477132799,2.484103489,1.208835169,1.702474852,3.868826722,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.071636,0.071546,0.071601,,,400137271,0.071636,1.915467,1.943656
400137271,0.243343434,0.121725398,0.257313782,0.393570874,0.167429753,0.30372605,0.439301433,0.212460393,0.348913006,0.484988868,0.121665518,0.258038432,0.393290999,0.167176797,0.304048909,0.438395647,0.21220182,0.349123123,0.48453682,,,400137271,0.243343434,1.047812172,1.363476116,2.059344034,1.133775311,1.539219112,2.581123487,1.233085329,1.722421354,3.362387444,1.057894647,1.376091422,2.343663709,1.142791879,1.545350736,4.433785461,1.246352748,1.865655763,3.463043306,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.081727,0.081634,0.081721,,,400137271,0.081727,1.991345,2.035265
400137271,0.273636364,0.136934243,0.272824432,0.40874876,0.182286939,0.318929676,0.454619652,0.227902387,0.363866985,0.502919791,0.136912318,0.27286185,0.409170537,0.182512004,0.318203519,0.45444418,0.227464004,0.363588517,0.501041443,,,400137271,0.273636364,1.076332176,1.412493943,2.318485906,1.166605481,1.593561074,2.719397764,1.276183068,1.844599699,4.23013326,1.084161133,1.443887518,2.246383259,1.175186159,1.61686721,2.87231922,1.291430274,1.837112175,4.987543307,,,,,,,,,,,,,,,,,,,,,,,,,,,,400137271,0.091818,0.09186,0.091753,,,400137271,0.091818,2.068697,2.118763
