Seed,arrival rate,"(3,5)","(3,10)",,Seed,arrival rate,"(BEB,5)","(BEB,10)"
400137271,0.001,0.000999977,0.000999189,,400137271,0.001,1.011608844,1.013579836
400137271,0.101497487,0.101437342,0.101333012,,400137271,0.101497487,4.354212725,6.27711187
400137271,0.201994975,0.201989093,0.201747684,,400137271,0.201994975,1219.866816,8093.876094
400137271,0.302492462,0.301333983,0.279027101,,400137271,0.302492462,18546.60601,98546.35833
400137271,0.40298995,0.317790023,0.339757397,,400137271,0.40298995,47274.74897,174106.0192
400137271,0.503487437,0.45063817,0.440874502,,400137271,0.503487437,161824.6727,145446.7615
400137271,0.603984925,0.494462069,0.428665411,,400137271,0.603984925,138473.1541,174712.9603
400137271,0.704482412,0.576316425,0.496769926,,400137271,0.704482412,113741.1949,117421.359
400137271,0.8049799,0.582126075,0.495621424,,400137271,0.8049799,144148.7256,116170.1452
400137271,0.905477387,0.571086188,0.558479287,,400137271,0.905477387,214645.1572,168643.1393
400137271,1.005974874,0.576314267,0.689267003,,400137271,1.005974874,258068.0978,196434.0051
400137271,1.106472362,0.721334934,0.502141846,,400137271,1.106472362,159437.1831,98601.77104
400137271,1.206969849,0.655432132,0.612301764,,400137271,1.206969849,144315.8166,223951.4464
400137271,1.307467337,0.539839735,0.645627832,,400137271,1.307467337,77847.84361,262938.0974
400137271,1.407964824,0.77255683,0.723227943,,400137271,1.407964824,170130.4366,210560.8254
400137271,1.508462312,0.756005493,0.607944328,,400137271,1.508462312,196069.868,180796.385
400137271,1.608959799,0.69717352,0.721898608,,400137271,1.608959799,161890.4673,126914.4775
400137271,1.709457286,0.739926075,0.70094421,,400137271,1.709457286,205154.4894,219222.8955
400137271,1.809954774,0.613639982,0.72933458,,400137271,1.809954774,205818.046,225809.2129
400137271,1.910452261,0.712855042,0.802741194,,400137271,1.910452261,198800.7309,148123.7875
400137271,2.010949749,0.618145856,0.752213157,,400137271,2.010949749,319201.9107,218140.1653
400137271,2.111447236,0.512921307,0.763302603,,400137271,2.111447236,26933.10287,145224.9118
400137271,2.211944724,0.680710176,0.764887377,,400137271,2.211944724,106891.1485,109336.8841
400137271,2.312442211,0.852707461,0.79276064,,400137271,2.312442211,213983.562,171512.3496
400137271,2.412939699,0.634789918,0.773006257,,400137271,2.412939699,185462.7287,171329.4249
400137271,2.513437186,0.794554641,0.754372221,,400137271,2.513437186,99907.647,185470.466
400137271,2.613934673,0.889156626,0.784235655,,400137271,2.613934673,196375.7744,262902.8346
400137271,2.714432161,0.774710739,0.801035685,,400137271,2.714432161,279896.8573,197672.6745
400137271,2.814929648,0.847803667,0.811151813,,400137271,2.814929648,181778.7509,218255.6999
400137271,2.915427136,0.766764752,0.787639884,,400137271,2.915427136,84730.08017,179421.6609
400137271,3.015924623,0.841479164,0.804128707,,400137271,3.015924623,100404.635,150411.9675
400137271,3.116422111,0.824018108,0.840508919,,400137271,3.116422111,233486.4189,259332.7634
400137271,3.216919598,0.888307068,0.812947279,,400137271,3.216919598,226345.6626,171395.3952
400137271,3.317417085,0.840254212,0.835778604,,400137271,3.317417085,284490.0724,236686.7514
400137271,3.417914573,0.688826026,0.852682926,,400137271,3.417914573,131.114167,258506.3138
400137271,3.51841206,0.980458115,0.847371575,,400137271,3.51841206,148087.8724,200525.7105
400137271,3.618909548,0.774261803,0.789886177,,400137271,3.618909548,67317.11848,189264.428
400137271,3.719407035,0.884479524,0.817735286,,400137271,3.719407035,253423.84,155670.8991
400137271,3.819904523,0.77163876,0.732983699,,400137271,3.819904523,214.9317665,130796.3745
400137271,3.92040201,0.790135959,0.890722623,,400137271,3.92040201,225.4166387,241676.6327
400137271,4.020899498,0.932869161,0.899015625,,400137271,4.020899498,204501.9131,222841.0275
400137271,4.121396985,0.836383712,0.919974575,,400137271,4.121396985,640.1749657,260284.1275
400137271,4.221894472,0.956056975,0.708149894,,400137271,4.221894472,256001.7179,231509.6746
400137271,4.32239196,0.945443352,0.847695575,,400137271,4.32239196,235814.1045,191782.6247
400137271,4.422889447,0.883963132,0.891121511,,400137271,4.422889447,4.869496782,165134.607
400137271,4.523386935,0.978000457,0.823676082,,400137271,4.523386935,150151.4087,204356.5719
400137271,4.623884422,0.993618311,0.817899166,,400137271,4.623884422,85097.2969,116626.2462
400137271,4.72438191,0.944890736,0.829866179,,400137271,4.72438191,10.08990629,276044.6504
400137271,4.824879397,0.992448298,0.857910254,,400137271,4.824879397,12373.36254,201755.6422
400137271,4.925376884,0.986046353,0.736289103,,400137271,4.925376884,40.71874617,132939.4583
400137271,5.025874372,0.999805778,0.84494676,,400137271,5.025874372,2717.399733,262954.9946
400137271,5.126371859,0.999814635,0.878282156,,400137271,5.126371859,12401.8483,266844.8231
400137271,5.226869347,0.999810594,0.878796268,,400137271,5.226869347,21398.39257,214172.0592
400137271,5.327366834,0.99981431,0.906633997,,400137271,5.327366834,31124.3593,234803.8622
400137271,5.427864322,0.999816029,0.855183904,,400137271,5.427864322,39663.54462,226163.8542
400137271,5.528361809,0.999771647,0.85220196,,400137271,5.528361809,47983.61764,219862.4199
400137271,5.628859297,0.999825528,0.936216493,,400137271,5.628859297,55806.85721,151349.3408
400137271,5.729356784,0.999780494,0.760909298,,400137271,5.729356784,62941.96001,58857.08291
400137271,5.829854271,0.99980475,0.891214104,,400137271,5.829854271,71883.63647,236329.7881
400137271,5.930351759,0.999789161,0.914113848,,400137271,5.930351759,78228.30493,260654.1675
400137271,6.030849246,0.999816144,0.90646956,,400137271,6.030849246,85796.25881,278465.0871
400137271,6.131346734,0.999801363,0.940759693,,400137271,6.131346734,92617.65596,229556.4484
400137271,6.231844221,0.999808208,0.847291369,,400137271,6.231844221,99505.15849,91869.96377
400137271,6.332341709,0.999801775,0.976585883,,400137271,6.332341709,105955.5079,146259.072
400137271,6.432839196,0.999798812,0.964977022,,400137271,6.432839196,112056.0932,260159.321
400137271,6.533336683,0.999797963,0.882733249,,400137271,6.533336683,118160.2282,251456.8907
400137271,6.633834171,0.999786754,0.976013609,,400137271,6.633834171,123404.471,156208.3459
400137271,6.734331658,0.999820036,0.876204695,,400137271,6.734331658,128518.7842,69262.65495
400137271,6.834829146,0.999816963,0.967368722,,400137271,6.834829146,134024.8752,198058.612
400137271,6.935326633,0.999812302,0.950883002,,400137271,6.935326633,139297.7413,106300.3527
400137271,7.035824121,0.999801443,0.950050426,,400137271,7.035824121,145069.5104,123836.2516
400137271,7.136321608,0.999812722,0.902031811,,400137271,7.136321608,149838.8094,261949.4419
400137271,7.236819096,0.999809954,0.88179794,,400137271,7.236819096,154931.7205,103237.8316
400137271,7.337316583,0.999818991,0.93103697,,400137271,7.337316583,158834.7917,255899.7877
400137271,7.43781407,0.999783081,0.978113075,,400137271,7.43781407,164302.5019,241735.4493
400137271,7.538311558,0.999813068,0.958923883,,400137271,7.538311558,168450.0588,229894.9533
400137271,7.638809045,0.999812822,0.776890393,,400137271,7.638809045,172926.9371,489.9743819
400137271,7.739306533,0.999791099,0.823144242,,400137271,7.739306533,177145.0893,8391.943263
400137271,7.83980402,0.999784727,0.928088868,,400137271,7.83980402,181403.36,49964.67813
400137271,7.940301508,0.999806117,0.902333614,,400137271,7.940301508,185432.3421,56239.53463
400137271,8.040798995,0.999805823,0.920073021,,400137271,8.040798995,189672.205,49550.56417
400137271,8.141296482,0.99980898,0.876652394,,400137271,8.141296482,193469.1054,14667.5432
400137271,8.24179397,0.99982436,0.963579885,,400137271,8.24179397,197398.733,251956.2774
400137271,8.342291457,0.999800586,0.973671731,,400137271,8.342291457,200774.1954,75374.04021
400137271,8.442788945,0.99980712,0.865925293,,400137271,8.442788945,204370.0257,95956.81185
400137271,8.543286432,0.999806943,0.855537296,,400137271,8.543286432,206997.32,4.18240115
400137271,8.64378392,0.999784988,0.893520824,,400137271,8.64378392,210873.7536,4190.800809
400137271,8.744281407,0.999817787,0.980184156,,400137271,8.744281407,214489.6744,198659.0714
400137271,8.844778895,0.999793923,0.986728688,,400137271,8.844778895,217274.5816,165237.0076
400137271,8.945276382,0.999786961,0.911775331,,400137271,8.945276382,221394.7856,147011.7883
400137271,9.045773869,0.999796655,0.982044104,,400137271,9.045773869,223569.7256,121019.6059
400137271,9.146271357,0.999798399,0.915364561,,400137271,9.146271357,226691.8684,7.26859368
400137271,9.246768844,0.999818952,0.925243436,,400137271,9.246768844,229698.9366,10.39714869
400137271,9.347266332,0.999806733,0.947159078,,400137271,9.347266332,232875.4597,1093.798909
400137271,9.447763819,0.999811071,0.945381236,,400137271,9.447763819,235425.7889,11.40351738
400137271,9.548261307,0.999790934,0.96182567,,400137271,9.548261307,238928.4459,707.2792244
400137271,9.648758794,0.999805511,0.966533465,,400137271,9.648758794,241559.3696,16.90071455
