Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.0002009375,0.0001003898
400137271,0.0110604027,0.0023004176,0.0011564471
400137271,0.0211208054,0.0045557176,0.0023205227
400137271,0.0311812081,0.0069839968,0.0035771583
400137271,0.0412416107,0.0095977778,0.0049464954
400137271,0.0513020134,0.0124256951,0.0064336175
400137271,0.0613624161,0.0154325140,0.0080752149
400137271,0.0714228188,0.0186613015,0.0098455981
400137271,0.0814832215,0.0221454898,0.0118121643
400137271,0.0915436242,0.0258558428,0.0139543202
400137271,0.1016040268,0.0298342004,0.0163040382
400137271,0.1116644295,0.0340692532,0.0188930416
400137271,0.1217248322,0.0385914329,0.0216203385
400137271,0.1317852349,0.0432280371,0.0246205493
400137271,0.1418456376,0.0482463761,0.0275792636
400137271,0.1519060403,0.0532351153,0.0306061896
400137271,0.1619664430,0.0580137133,0.0331645300
400137271,0.1720268456,0.0631520894,0.0356787275
400137271,0.1820872483,0.0674608432,0.0375444757
400137271,0.1921476510,0.0715621291,0.0390396795
400137271,0.2022080537,0.0745617856,0.0389847494
400137271,0.2122684564,0.0765754928,0.0340282382
400137271,0.2223288591,0.0776322357,0.0401297467
400137271,0.2323892617,0.0787843631,0.0401634176
400137271,0.2424496644,0.0824207213,0.0447972203
400137271,0.2525100671,0.0718213015,0.0434014725
400137271,0.2625704698,0.0883731776,0.0425908094
400137271,0.2726308725,0.0890076830,0.0423568356
400137271,0.2826912752,0.0763031458,0.0411913275
400137271,0.2927516779,0.0873096624,0.0403555722
400137271,0.3028120805,0.0934655227,0.0491935400
400137271,0.3128724832,0.0793842256,0.0501407173
400137271,0.3229328859,0.0925547018,0.0374469352
400137271,0.3329932886,0.0850865063,0.0426598985
400137271,0.3430536913,0.0959719988,0.0474727640
400137271,0.3531140940,0.0917147275,0.0439202093
400137271,0.3631744966,0.0486900790,0.0482195882
400137271,0.3732348993,0.1101387253,0.0579702967
400137271,0.3832953020,0.0641763340,0.0581976545
400137271,0.3933557047,0.1105678456,0.0490319385
400137271,0.4034161074,0.0990342471,0.0532095284
400137271,0.4134765101,0.1107591445,0.0316072068
400137271,0.4235369128,0.0345369293,0.0536550142
400137271,0.4335973154,0.0960069541,0.0493829523
400137271,0.4436577181,0.0966310979,0.0071788392
400137271,0.4537181208,0.0252648601,0.0581501598
400137271,0.4637785235,0.1257789021,0.0605415069
400137271,0.4738389262,0.0069024138,0.0537795451
400137271,0.4838993289,0.0563914587,0.0439850436
400137271,0.4939597315,0.1215264212,0.0628861296
400137271,0.5040201342,0.1145621008,0.0701179982
400137271,0.5140805369,0.1340824850,0.0597970540
400137271,0.5241409396,0.1294576622,0.0464378299
400137271,0.5342013423,0.1319904158,0.0624450964
400137271,0.5442617450,0.1211340381,0.0008285347
400137271,0.5543221477,0.1300384617,0.0722141733
400137271,0.5643825503,0.1151819496,0.0732144570
