Seed,arrival rate,"(3,5)","(3,10)",,,,Seed,arrival rate,"(3,5)","(3,10)",,,,Seed,arrival rate,"(3,5)","(3,10)",,Theory,Theory
400137271,0.001,0.001003511,0.001003259,,,,400137271,0.001,0.000999977,0.000999189,,,,400137271,0.001,1.011608844,1.013579836,,0.001001499,0.001001248
400137271,0.041795918,0.048804374,0.049979366,,,,400137271,0.041795918,0.041828185,0.041805406,,,,400137271,0.041795918,1.660545071,1.783836813,,0.044265747,0.045225067
400137271,0.082591837,0.112834441,0.120159511,,,,400137271,0.082591837,0.082453832,0.082524586,,,,400137271,0.082591837,3.189724399,3.719007635,,0.090039885,0.094490669
400137271,0.123387755,0.196582523,0.220256642,,,,400137271,0.123387755,0.123308295,0.123381534,,,,400137271,0.123387755,8.093553203,15.16223556,,0.132676955,0.141780507
400137271,0.164183674,0.295962272,0.336638354,,,,400137271,0.164183674,0.164163377,0.164130245,,,,400137271,0.164183674,73.32620538,923.5989828,,0.163744526,0.171697209
400137271,0.204979592,0.379779642,0.400624306,,,,400137271,0.204979592,0.204699083,0.204723536,,,,400137271,0.204979592,655.9742545,9351.123335,,0.177688481,0.179787479
400137271,0.24577551,0.402542404,0.417848491,,,,400137271,0.24577551,0.240517961,0.240089688,,,,400137271,0.24577551,3788.792747,60673.84752,,0.179956586,0.181167483
400137271,0.286571429,0.42649959,0.424817346,,,,400137271,0.286571429,0.283583832,0.264270093,,,,400137271,0.286571429,25027.78065,66908.2499,,0.181746385,0.181639619
400137271,0.327367347,0.448656697,0.4656231,,,,400137271,0.327367347,0.325489749,0.309553397,,,,400137271,0.327367347,37373.57857,62683.09397,,0.182900924,0.183484521
400137271,0.368163265,0.439547655,0.490723167,,,,400137271,0.368163265,0.319942333,0.35276137,,,,400137271,0.368163265,207119.0668,62484.97236,,0.182481871,0.183907667
400137271,0.408959184,0.489576492,0.515662765,,,,400137271,0.408959184,0.3804631,0.388347648,,,,400137271,0.408959184,93898.1473,84990.49304,,0.183899191,0.183851334
400137271,0.449755102,0.514158877,0.474748675,,,,400137271,0.449755102,0.42875514,0.364966694,,,,400137271,0.449755102,154906.2069,131805.8741,,0.183867348,0.183697101
400137271,0.49055102,0.477092242,0.51392405,,,,400137271,0.49055102,0.397048463,0.40085178,,,,400137271,0.49055102,75659.00411,113563.0042,,0.183740671,0.183869707
400137271,0.531346939,0.52311425,0.49929954,,,,400137271,0.531346939,0.458885432,0.397073708,,,,400137271,0.531346939,159578.3236,141036.2223,,0.183749128,0.18393954
400137271,0.572142857,0.528027855,0.536084429,,,,400137271,0.572142857,0.460821226,0.439041001,,,,400137271,0.572142857,28289.99125,136178.3605,,0.183661305,0.183483144
400137271,0.612938776,0.57274995,0.544824678,,,,400137271,0.612938776,0.514991584,0.457116386,,,,400137271,0.612938776,53235.85641,126041.3372,,0.182171643,0.183243285
400137271,0.653734694,0.564467799,0.593835619,,,,400137271,0.653734694,0.494122105,0.522886232,,,,400137271,0.653734694,87881.02643,142913.516,,0.18253606,0.181078621
400137271,0.694530612,0.573850428,0.551296918,,,,400137271,0.694530612,0.495008025,0.473855231,,,,400137271,0.694530612,206961.8579,96767.99351,,0.182120386,0.183035422
400137271,0.735326531,0.504106824,0.598580423,,,,400137271,0.735326531,0.410095005,0.543344066,,,,400137271,0.735326531,71797.84114,137100.4643,,0.18393355,0.180801554
400137271,0.776122449,0.579721675,0.566496046,,,,400137271,0.776122449,0.535999152,0.481428579,,,,400137271,0.776122449,264300.6484,141794.9645,,0.181835925,0.182450337
400137271,0.816918367,0.56836198,0.559789649,,,,400137271,0.816918367,0.512346612,0.484291089,,,,400137271,0.816918367,222572.4814,156913.5925,,0.182369445,0.182724908
400137271,0.857714286,0.595486648,0.621227598,,,,400137271,0.857714286,0.545024967,0.566489941,,,,400137271,0.857714286,133750.2672,178071.8066,,0.180983465,0.179332625
