Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,2.4244343434,40999.1715226689,62309.4914079405,76332.4743852168,12980.6281501043,46356.8859971053,415932.9657733940,50033.8530941693,70221.7306806921,905840.5846710943,38199.9885823120,33272.0260337428,72307.8291271064,50563.1562698817,48604.0569055262,625838.4248981657,55517.4608907914,53813.6014761104,1176251.8699540431
400137271,2.4547272727,23056.3732710240,10435.3997727580,78253.3152580419,42466.0940608303,57465.5008869558,628663.8595993558,39037.0091209427,48580.9696149977,919529.9536517027,28495.0917799680,43519.7471870756,65964.8217643050,41131.9509676440,32986.4909795055,616921.5794177022,56985.5966667386,67989.5350775460,1195916.3113194879
400137271,2.4850202020,12961.7353357822,66016.2471402822,466403.0544000199,29859.4374581478,59546.8228868705,899125.5120585125,69360.7491873140,70000.1837047736,102798.0654571146,46042.2246683099,48840.8923027753,597895.5159959681,34580.8011670309,79960.2543434000,1115853.9013103540,48799.0664691723,51405.2435570757,111187.0079832007
400137271,2.5153131313,12980.6281501043,46356.8859971053,415932.9657733940,50033.8530941693,70221.7306806921,905840.5846710943,62309.4914079405,76332.4743852168,98500.1366773445,50563.1562698817,48604.0569055262,625838.4248981657,55517.4608907914,53813.6014761104,1176251.8699540431,33272.0260337428,72307.8291271064,108445.1187400018
400137271,2.5456060606,42466.0940608303,57465.5008869558,628663.8595993558,39037.0091209427,48580.9696149977,919529.9536517027,10435.3997727580,78253.3152580419,60057.1987044923,41131.9509676440,32986.4909795055,616921.5794177022,56985.5966667386,67989.5350775460,1195916.3113194879,43519.7471870756,65964.8217643050,106141.6025792593
400137271,2.5758989899,29859.4374581478,59546.8228868705,899125.5120585125,69360.7491873140,70000.1837047736,102798.0654571146,66016.2471402822,466403.0544000199,170624.9816847695,34580.8011670309,79960.2543434000,1115853.9013103540,48799.0664691723,51405.2435570757,111187.0079832007,48840.8923027753,597895.5159959681,434289.4441911525
400137271,2.6061919192,50033.8530941693,70221.7306806921,905840.5846710943,62309.4914079405,76332.4743852168,98500.1366773445,46356.8859971053,415932.9657733940,181049.6854824361,55517.4608907914,53813.6014761104,1176251.8699540431,33272.0260337428,72307.8291271064,108445.1187400018,48604.0569055262,625838.4248981657,216209.9993821094
400137271,2.6364848485,39037.0091209427,48580.9696149977,919529.9536517027,10435.3997727580,78253.3152580419,60057.1987044923,57465.5008869558,628663.8595993558,187563.7188064674,56985.5966667386,67989.5350775460,1195916.3113194879,43519.7471870756,65964.8217643050,106141.6025792593,32986.4909795055,616921.5794177022,235527.2260058119
400137271,2.6667777778,69360.7491873140,70000.1837047736,102798.0654571146,66016.2471402822,466403.0544000199,170624.9816847695,59546.8228868705,899125.5120585125,933826.2524364026,48799.0664691723,51405.2435570757,111187.0079832007,48840.8923027753,597895.5159959681,434289.4441911525,79960.2543434000,1115853.9013103540,85462.9295970130
400137271,2.6970707071,62309.4914079405,76332.4743852168,98500.1366773445,46356.8859971053,415932.9657733940,181049.6854824361,70221.7306806921,905840.5846710943,944754.3801783250,33272.0260337428,72307.8291271064,108445.1187400018,48604.0569055262,625838.4248981657,216209.9993821094,53813.6014761104,1176251.8699540431,101974.0273623583
400137271,2.7273636364,10435.3997727580,78253.3152580419,60057.1987044923,57465.5008869558,628663.8595993558,187563.7188064674,48580.9696149977,919529.9536517027,953882.5440511081,43519.7471870756,65964.8217643050,106141.6025792593,32986.4909795055,616921.5794177022,235527.2260058119,67989.5350775460,1195916.3113194879,117502.0168316859
400137271,2.7576565657,66016.2471402822,466403.0544000199,170624.9816847695,59546.8228868705,899125.5120585125,933826.2524364026,70000.1837047736,102798.0654571146,177046.0422070607,48840.8923027753,597895.5159959681,434289.4441911525,79960.2543434000,1115853.9013103540,85462.9295970130,51405.2435570757,111187.0079832007,81878.2882139414
400137271,2.7879494949,46356.8859971053,415932.9657733940,181049.6854824361,70221.7306806921,905840.5846710943,944754.3801783250,76332.4743852168,98500.1366773445,176150.0018837469,48604.0569055262,625838.4248981657,216209.9993821094,53813.6014761104,1176251.8699540431,101974.0273623583,72307.8291271064,108445.1187400018,155383.6223830834
400137271,2.8182424242,57465.5008869558,628663.8595993558,187563.7188064674,48580.9696149977,919529.9536517027,953882.5440511081,78253.3152580419,60057.1987044923,179849.8479730059,32986.4909795055,616921.5794177022,235527.2260058119,67989.5350775460,1195916.3113194879,117502.0168316859,65964.8217643050,106141.6025792593,164561.0408899511
400137271,2.8485353535,59546.8228868705,899125.5120585125,933826.2524364026,70000.1837047736,102798.0654571146,177046.0422070607,466403.0544000199,170624.9816847695,679814.6402149068,79960.2543434000,1115853.9013103540,85462.9295970130,51405.2435570757,111187.0079832007,81878.2882139414,597895.5159959681,434289.4441911525,45.9947964232
400137271,2.8788282828,70221.7306806921,905840.5846710943,944754.3801783250,76332.4743852168,98500.1366773445,176150.0018837469,415932.9657733940,181049.6854824361,690660.0352347812,53813.6014761104,1176251.8699540431,101974.0273623583,72307.8291271064,108445.1187400018,155383.6223830834,625838.4248981657,216209.9993821094,437965.1505750928
400137271,2.9091212121,48580.9696149977,919529.9536517027,953882.5440511081,78253.3152580419,60057.1987044923,179849.8479730059,628663.8595993558,187563.7188064674,696608.8681773967,67989.5350775460,1195916.3113194879,117502.0168316859,65964.8217643050,106141.6025792593,164561.0408899511,616921.5794177022,235527.2260058119,300601.8995118159
400137271,2.9394141414,70000.1837047736,102798.0654571146,177046.0422070607,466403.0544000199,170624.9816847695,679814.6402149068,899125.5120585125,933826.2524364026,1826921.3134721364,51405.2435570757,111187.0079832007,81878.2882139414,597895.5159959681,434289.4441911525,45.9947964232,1115853.9013103540,85462.9295970130,981687.0134620734
