Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,0.5462727273,0.8647070675,0.7889384518,0.7123217415,0.8396065939,0.7628405129,0.6895557813,0.8161020193,0.7358265098,0.6842140194,0.8468217931,0.7598622522,0.6642430651,0.8188794290,0.7281825583,0.6343744687,0.7898532295,0.6954320545,0.6249211037
400137271,0.5765656566,0.8563234779,0.7802600451,0.7028207006,0.8305351221,0.7555369526,0.6814969489,0.8060953708,0.7287593964,0.6758674759,0.8375475936,0.7476406331,0.6540414859,0.8077975078,0.7176293545,0.6266645778,0.7805700503,0.6865665698,0.6087768577
400137271,0.6068585859,0.8480268112,0.7722323771,0.6965267693,0.8233461446,0.7457800038,0.6745567319,0.7981438367,0.7196512282,0.6946788986,0.8287778179,0.7393972286,0.6464784380,0.7999046514,0.7083758359,0.6321432184,0.7696866606,0.6770173594,0.6191022769
400137271,0.6371515152,0.8396065939,0.7628405129,0.6895557813,0.8161020193,0.7358265098,0.6842140194,0.7889384518,0.7123217415,0.6754994981,0.8188794290,0.7281825583,0.6343744687,0.7898532295,0.6954320545,0.6249211037,0.7598622522,0.6642430651,0.6170287597
400137271,0.6674444444,0.8305351221,0.7555369526,0.6814969489,0.8060953708,0.7287593964,0.6758674759,0.7802600451,0.7028207006,0.6882312457,0.8077975078,0.7176293545,0.6266645778,0.7805700503,0.6865665698,0.6087768577,0.7476406331,0.6540414859,0.6268916455
400137271,0.6977373737,0.8233461446,0.7457800038,0.6745567319,0.7981438367,0.7196512282,0.6946788986,0.7722323771,0.6965267693,0.6951405505,0.7999046514,0.7083758359,0.6321432184,0.7696866606,0.6770173594,0.6191022769,0.7393972286,0.6464784380,0.6341073671
400137271,0.7280303030,0.8161020193,0.7358265098,0.6842140194,0.7889384518,0.7123217415,0.6754994981,0.7628405129,0.6895557813,0.7205052183,0.7898532295,0.6954320545,0.6249211037,0.7598622522,0.6642430651,0.6170287597,0.7281825583,0.6343744687,0.6773273476
400137271,0.7583232323,0.8060953708,0.7287593964,0.6758674759,0.7802600451,0.7028207006,0.6882312457,0.7555369526,0.6814969489,0.7214174410,0.7805700503,0.6865665698,0.6087768577,0.7476406331,0.6540414859,0.6268916455,0.7176293545,0.6266645778,0.6515795592
400137271,0.7886161616,0.7981438367,0.7196512282,0.6946788986,0.7722323771,0.6965267693,0.6951405505,0.7457800038,0.6745567319,0.7400467414,0.7696866606,0.6770173594,0.6191022769,0.7393972286,0.6464784380,0.6341073671,0.7083758359,0.6321432184,0.6578570832
400137271,0.8189090909,0.7889384518,0.7123217415,0.6754994981,0.7628405129,0.6895557813,0.7205052183,0.7358265098,0.6842140194,0.7323260433,0.7598622522,0.6642430651,0.6170287597,0.7281825583,0.6343744687,0.6773273476,0.6954320545,0.6249211037,0.6415656254
