Seed,arrival rate,"(BEB,5,0.50,0.50)","(BEB,5,0.50,1.00)","(BEB,5,0.50,1.50)","(BEB,5,2.00,0.50)","(BEB,5,2.00,1.00)","(BEB,5,2.00,1.50)","(BEB,5,3.50,0.50)","(BEB,5,3.50,1.00)","(BEB,5,3.50,1.50)","(BEB,10,0.50,0.50)","(BEB,10,0.50,1.00)","(BEB,10,0.50,1.50)","(BEB,10,2.00,0.50)","(BEB,10,2.00,1.00)","(BEB,10,2.00,1.50)","(BEB,10,3.50,0.50)","(BEB,10,3.50,1.00)","(BEB,10,3.50,1.50)"
400137271,0.5462727273,0.2728244323,0.4087487603,0.5452717050,0.3189296763,0.4546196520,0.5916392046,0.3638669845,0.5029197914,0.6366821182,0.2728618503,0.4091705371,0.5463017158,0.3182035192,0.4544441798,0.5907844033,0.3635885173,0.5010414433,0.6364003282
400137271,0.5765656566,0.2880197182,0.4254035039,0.5609524625,0.3338611801,0.4693924668,0.6058469993,0.3790282655,0.5152331254,0.6512290968,0.2884658196,0.4250548804,0.5595608138,0.3336434487,0.4698732879,0.6060961567,0.3786428141,0.5159871710,0.6511132700
400137271,0.6068585859,0.3037260504,0.4393014331,0.5754670642,0.3489130062,0.4849888683,0.6216417357,0.3935708741,0.5307041935,0.6649255219,0.3040489087,0.4383956472,0.5770743090,0.3491231228,0.4845368196,0.6225310431,0.3932909986,0.5313349143,0.6683924024
400137271,0.6371515152,0.3189296763,0.4546196520,0.5916392046,0.3638669845,0.5029197914,0.6366821182,0.4087487603,0.5452717050,0.6823271184,0.3182035192,0.4544441798,0.5907844033,0.3635885173,0.5010414433,0.6364003282,0.4091705371,0.5463017158,0.6804053759
400137271,0.6674444444,0.3338611801,0.4693924668,0.6058469993,0.3790282655,0.5152331254,0.6512290968,0.4254035039,0.5609524625,0.6960016833,0.3336434487,0.4698732879,0.6060961567,0.3786428141,0.5159871710,0.6511132700,0.4250548804,0.5595608138,0.6905845728
400137271,0.6977373737,0.3489130062,0.4849888683,0.6216417357,0.3935708741,0.5307041935,0.6649255219,0.4393014331,0.5754670642,0.6613609640,0.3491231228,0.4845368196,0.6225310431,0.3932909986,0.5313349143,0.6683924024,0.4383956472,0.5770743090,0.7118668321
400137271,0.7280303030,0.3638669845,0.5029197914,0.6366821182,0.4087487603,0.5452717050,0.6823271184,0.4546196520,0.5916392046,0.7271267544,0.3635885173,0.5010414433,0.6364003282,0.4091705371,0.5463017158,0.6804053759,0.4544441798,0.5907844033,0.7144947635
400137271,0.7583232323,0.3790282655,0.5152331254,0.6512290968,0.4254035039,0.5609524625,0.6960016833,0.4693924668,0.6058469993,0.7410341032,0.3786428141,0.5159871710,0.6511132700,0.4250548804,0.5595608138,0.6905845728,0.4698732879,0.6060961567,0.7192978216
400137271,0.7886161616,0.3935708741,0.5307041935,0.6649255219,0.4393014331,0.5754670642,0.6613609640,0.4849888683,0.6216417357,0.7571262866,0.3932909986,0.5313349143,0.6683924024,0.4383956472,0.5770743090,0.7118668321,0.4845368196,0.6225310431,0.7515370811
400137271,0.8189090909,0.4087487603,0.5452717050,0.6823271184,0.4546196520,0.5916392046,0.7271267544,0.5029197914,0.6366821182,0.6752380506,0.4091705371,0.5463017158,0.6804053759,0.4544441798,0.5907844033,0.7144947635,0.5010414433,0.6364003282,0.7240507585
400137271,0.8492020202,0.4254035039,0.5609524625,0.6960016833,0.4693924668,0.6058469993,0.7410341032,0.5152331254,0.6512290968,0.7799250147,0.4250548804,0.5595608138,0.6905845728,0.4698732879,0.6060961567,0.7192978216,0.5159871710,0.6511132700,0.7766114332
400137271,0.8794949495,0.4393014331,0.5754670642,0.6613609640,0.4849888683,0.6216417357,0.7571262866,0.5307041935,0.6649255219,0.7374523658,0.4383956472,0.5770743090,0.7118668321,0.4845368196,0.6225310431,0.7515370811,0.5313349143,0.6683924024,0.7929304167
400137271,0.9097878788,0.4546196520,0.5916392046,0.7271267544,0.5029197914,0.6366821182,0.6752380506,0.5452717050,0.6823271184,0.8121447018,0.4544441798,0.5907844033,0.7144947635,0.5010414433,0.6364003282,0.7240507585,0.5463017158,0.6804053759,0.7016529658
400137271,0.9400808081,0.4693924668,0.6058469993,0.7410341032,0.5152331254,0.6512290968,0.7799250147,0.5609524625,0.6960016833,0.8295357964,0.4698732879,0.6060961567,0.7192978216,0.5159871710,0.6511132700,0.7766114332,0.5595608138,0.6905845728,0.8092111344
400137271,0.9703737374,0.4849888683,0.6216417357,0.7571262866,0.5307041935,0.6649255219,0.7374523658,0.5754670642,0.6613609640,0.7197847076,0.4845368196,0.6225310431,0.7515370811,0.5313349143,0.6683924024,0.7929304167,0.5770743090,0.7118668321,0.7696091255
400137271,1.0006666667,0.5029197914,0.6366821182,0.6752380506,0.5452717050,0.6823271184,0.8121447018,0.5916392046,0.7271267544,0.8531925943,0.5010414433,0.6364003282,0.7240507585,0.5463017158,0.6804053759,0.7016529658,0.5907844033,0.7144947635,0.8000092517
400137271,1.0309595960,0.5152331254,0.6512290968,0.7799250147,0.5609524625,0.6960016833,0.8295357964,0.6058469993,0.7410341032,0.8387225408,0.5159871710,0.6511132700,0.7766114332,0.5595608138,0.6905845728,0.8092111344,0.6060961567,0.7192978216,0.7751187690
400137271,1.0612525253,0.5307041935,0.6649255219,0.7374523658,0.5754670642,0.6613609640,0.7197847076,0.6216417357,0.7571262866,0.8780122829,0.5313349143,0.6683924024,0.7929304167,0.5770743090,0.7118668321,0.7696091255,0.6225310431,0.7515370811,0.8109998116
400137271,1.0915454545,0.5452717050,0.6823271184,0.8121447018,0.5916392046,0.7271267544,0.8531925943,0.6366821182,0.6752380506,0.8986928055,0.5463017158,0.6804053759,0.7016529658,0.5907844033,0.7144947635,0.8000092517,0.6364003282,0.7240507585,0.8682088379
400137271,1.1218383838,0.5609524625,0.6960016833,0.8295357964,0.6058469993,0.7410341032,0.8387225408,0.6512290968,0.7799250147,0.8609191011,0.5595608138,0.6905845728,0.8092111344,0.6060961567,0.7192978216,0.7751187690,0.6511132700,0.7766114332,0.8982969424
400137271,1.1521313131,0.5754670642,0.6613609640,0.7197847076,0.6216417357,0.7571262866,0.8780122829,0.6649255219,0.7374523658,0.8600477717,0.5770743090,0.7118668321,0.7696091255,0.6225310431,0.7515370811,0.8109998116,0.6683924024,0.7929304167,0.8297558525
400137271,1.1824242424,0.5916392046,0.7271267544,0.8531925943,0.6366821182,0.6752380506,0.8986928055,0.6823271184,0.8121447018,0.7872350661,0.5907844033,0.7144947635,0.8000092517,0.6364003282,0.7240507585,0.8682088379,0.6804053759,0.7016529658,0.8349458179
400137271,1.2127171717,0.6058469993,0.7410341032,0.8387225408,0.6512290968,0.7799250147,0.8609191011,0.6960016833,0.8295357964,0.9404556407,0.6060961567,0.7192978216,0.7751187690,0.6511132700,0.7766114332,0.8982969424,0.6905845728,0.8092111344,0.8746428250
