Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)",,,Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)",,,Seed,arrival rate,"(3,5) - SLOTTED","(5,5) - SLOTTED","(7,5) - SLOTTED","(5,10) - SLOTTED","(10,10) - SLOTTED","(20,10) - SLOTTED",,,Seed,arrival rate,"(3,5) - SLOTTED","(5,5) - SLOTTED","(7,5) - SLOTTED","(5,10) - SLOTTED","(10,10) - SLOTTED","(20,10) - SLOTTED"
400137271,0.001,0.001002422,0.001004122,0.001001802,0.0010015,0.001002273,0.001000724,0.001002198,0.001000464,0.001001449,0.001002031,0.000999911,0.001001216,0.00100059,0.001002608,0.000999913,0.00100255,0.001000557,0.001000665,0.001000561,0.001000502,0.001003515,0.001000402,0.001001684,0.001002206,0.00100015,0.001002072,0.001000041,0.001002933,0.001001151,0.00100235,0.001002197,0.001001098,0.001002464,0.001002033,0.001003456,0.00100021,0.001002016,0.001002376,0.001001566,0.001002264,0.001003009,0.001002694,,,400137271,0.001,4.055173625,3.036755011,2.526989383,2.220895977,2.018748876,1.763138257,1.50980462,4.059041295,3.037127326,2.526811773,2.221667023,2.019653624,1.764063349,1.510648147,4.059366601,3.038317349,2.528277134,2.222691891,2.020345822,1.76492673,1.511194757,4.059380427,3.038672957,2.528034823,2.221681604,2.020108073,1.763414818,1.511274157,4.069708692,3.044486265,2.532994104,2.226745705,2.022939196,1.767395523,1.512008051,4.087944617,3.05569848,2.541217988,2.233814607,2.029112546,1.772094929,1.51494966,,,400137271,0.001,0.001001,0.001001,0.001,0.001001,0.001001,0.001001,,,400137271,0.001,1.524608,1.525908,1.527948,1.526675,1.530835,1.539978
400137271,0.072408163,0.072339084,0.072514262,0.072436777,0.072312627,0.072516841,0.072380912,0.072489083,0.072396133,0.072338846,0.072324129,0.072579979,0.072348535,0.0726081,0.072508284,0.072422862,0.072399362,0.072323412,0.072577845,0.072458144,0.072475133,0.072424058,0.072359203,0.072380507,0.072468339,0.072555923,0.072473716,0.072546713,0.072468452,0.072476934,0.072431701,0.072453511,0.072537445,0.072411441,0.072419254,0.072347379,0.072354825,0.072333854,0.072588386,0.072455266,0.072448785,0.07242143,0.072474477,,,400137271,0.072408163,6.009398784,3.778382526,2.980764042,2.546676051,2.284009395,1.96238639,1.6579277,6.043498594,3.934472614,3.113333137,2.65971917,2.372256649,2.030985844,1.700263328,6.329926955,4.133499049,3.259994091,2.777033429,2.463663545,2.101730121,1.746915862,6.206824768,3.995059612,3.15337727,2.691527736,2.394395687,2.049788354,1.709564083,7.00883045,4.551771011,3.555329168,3.007721605,2.656310447,2.236042901,1.829315907,9.034486343,5.762861543,4.416605258,3.681356283,3.219396932,2.643816669,2.094812518,,,400137271,0.016141,0.01614,0.016147,0.016133,0.016145,0.016139,0.016144,,,400137271,0.016141,1.595717,1.621096,1.648841,1.632111,1.70981,1.863857
400137271,0.143816327,0.139710091,0.143648384,0.144259844,0.143752823,0.143847954,0.143898749,0.144010172,0.143978405,0.143786023,0.143917062,0.144036952,0.143813641,0.143961527,0.143784524,0.143904466,0.144250482,0.143932364,0.143845989,0.143710994,0.143847323,0.143849051,0.085184599,0.144042727,0.143576749,0.143746177,0.14374099,0.144120385,0.144247244,0.143778172,0.143867522,0.144350177,0.143668769,0.143939609,0.144047102,0.144091903,0.143598787,0.14385982,0.144005653,0.143676032,0.143985325,0.143865012,0.143852077,,,400137271,0.143816327,97003.12168,5.249713091,3.684074851,3.006005266,2.622233985,2.205553016,1.829244664,15.44271143,5.661944809,4.008396224,3.273486212,2.839518284,2.363987451,1.928435697,14.92346696,6.273459087,4.430869871,3.564515745,3.084929141,2.534838645,2.039949946,2369417.066,5.822848261,4.080181712,3.31598415,2.873647464,2.386620229,1.946665037,18.08576876,7.258689339,5.116823133,4.074947853,3.497061703,2.827191007,2.227878077,24.79039603,11.00730664,7.561783142,5.872769957,4.92264986,3.835722458,2.866909723,,,400137271,0.031283,0.031281,0.031316,0.031298,0.031274,0.031304,0.031297,,,400137271,0.031283,1.674442,1.726249,1.780399,1.744801,1.899666,2.214911
400137271,0.21522449,0.139654992,0.21537034,0.215015584,0.215791666,0.215567149,0.214743826,0.215314484,0.16593627,0.215443078,0.215472847,0.215008398,0.215620571,0.215522115,0.215554768,0.182358639,0.215706099,0.215682081,0.215667235,0.215489254,0.214867422,0.215721333,0.085454599,0.183920516,0.21490612,0.215142652,0.215486386,0.215406606,0.215684804,0.145461112,0.214726069,0.215142315,0.215738196,0.215421505,0.215103013,0.215689548,0.190161877,0.214863057,0.215483001,0.215232714,0.215345721,0.215278663,0.215279464,,,400137271,0.21522449,1262709.098,10.73188906,4.933288426,3.674276661,3.091203314,2.506792708,2.03633693,683541.005,10.26099811,5.585014851,4.174360722,3.498943558,2.791924671,2.207777305,417840.8147,11.62769453,6.432097397,4.794424072,3.960858112,3.097829938,2.399817682,3535834.145,378171.9462,5.640507502,4.22295326,3.511949202,2.805027963,2.222773166,1115834.723,13.97634328,7.696743054,5.698720619,4.643794399,3.560440723,2.686106083,306237.2644,23.96498906,13.07152007,9.335500247,7.391728995,5.459543755,3.821144505,,,,0.046424,0.046436,,,,,,,,,0.046424,1.75869,,,,,
400137271,0.286632653,0.139762063,0.242453574,0.286885157,0.285872765,0.28656938,0.286691062,0.28601169,0.166304801,0.278823332,0.286974652,0.287019391,0.286557909,0.286631507,0.286325464,0.182326029,0.287224724,0.286484505,0.286737629,0.286568715,0.28645393,0.2867171,0.085202706,0.183116092,0.286147691,0.287456792,0.286249685,0.286804741,0.286763831,0.145367731,0.261027473,0.286977109,0.286742925,0.287037352,0.286737607,0.286986987,0.18986185,0.286941439,0.286815214,0.286967715,0.286911645,0.286617542,0.286651315,,,400137271,0.286632653,1836155.062,320012.0003,7.960644939,4.75401476,3.743135113,2.891015949,2.272789234,1269043.409,47226.92781,8.873151823,5.639054024,4.424318073,3.336626609,2.547416839,999343.0045,56.39305323,10.63522355,6.769793302,5.232040724,3.866871475,2.843750843,4121591.073,989588.7132,9.459566538,5.621087208,4.381403295,3.326951655,2.54095892,1693810.577,169311.0624,13.10723176,8.180897776,6.240723898,4.540152626,3.253359986,891364.2177,104.5633968,24.79773,15.31895269,11.23396598,7.685520696,5.09757901,,,400137271,0.061566,0.06158,0.046412,0.046448,0.046375,0.046469,0.04648,,,400137271,0.061566,1.854541,1.837876,1.920675,1.866975,2.099318,2.602814
400137271,0.358040816,0.139887201,0.242021468,0.350247389,0.357828692,0.357781058,0.357786753,0.357139334,0.166163144,0.279625654,0.358090332,0.358907221,0.357339888,0.358368164,0.358708308,0.182479262,0.300387248,0.357841614,0.358649043,0.358102197,0.357730235,0.357246072,0.085129054,0.182752991,0.290225645,0.357948439,0.358193441,0.35797696,0.358307866,0.145744253,0.2604472,0.357209188,0.35841818,0.358158083,0.358366933,0.357712458,0.190164887,0.31255959,0.359103186,0.357902054,0.357612224,0.357639031,0.358210172,,,400137271,0.358040816,2181168.616,668355.9508,26117.21622,6.878597357,4.71616504,3.400980347,2.585554057,1616864.515,393224.5679,22.03747444,8.383304825,5.8163427,4.076991453,2.975372565,1346123.493,264439.894,23.25105966,10.34020799,7.124575272,4.884052525,3.41403534,4477949.716,1334930.362,321268.5437,8.382132891,5.730271392,3.997611002,2.932209755,2032932.36,518866.7228,35.28855444,12.84044521,8.75292501,5.843634787,3.961189665,1228227.943,204587.1866,59.17394641,26.21941261,17.42785656,10.81246129,6.668938295,,,400137271,0.076707,0.076631,0.061521,0.061579,0.061591,0.061564,0.061648,,,400137271,0.076707,1.956962,1.95713,2.083439,2.003563,2.334001,3.036113
400137271,0.42944898,0.139932635,0.241842697,0.349651314,0.429766707,0.42988485,0.428932664,0.428924774,0.165802794,0.27864969,0.397587255,0.4283821,0.429537664,0.428917086,0.429879466,0.18237053,0.301756573,0.423188553,0.429093755,0.428793734,0.429155047,0.429550321,0.085040114,0.182662233,0.290734696,0.405171786,0.430639221,0.429806792,0.429801228,0.145572041,0.260365941,0.380149329,0.430614447,0.429672647,0.429214678,0.428890511,0.18987944,0.312267779,0.428850449,0.429120611,0.429601976,0.430147464,0.429336452,,,400137271,0.42944898,2412164.023,902212.3138,264840.1437,14.85920046,6.48238063,4.061868201,2.956145257,1851978.096,624517.1426,96520.8742,14.71489604,8.124946168,5.054228663,3.487338401,1576152.699,498241.8739,14541.22677,18.00744986,10.41154788,6.282847212,4.123904949,4709313.176,1570444.188,554651.0822,64333.06245,8.062789618,4.904866148,3.397251791,2269999.197,756834.8531,151615.0222,24.9349317,12.89623235,7.596121001,4.796052976,1471574.352,436440.0414,848.4778952,50.92550385,27.82423754,15.43611,8.777603799,,,400137271,0.091848,0.091814,0.076749,0.076751,0.076716,0.076607,0.076737,,,400137271,0.091848,2.068479,2.102233,2.258955,2.143349,2.567724,3.51354
400137271,0.500857143,0.139686943,0.241955751,0.350056092,0.464820691,0.499590319,0.501748268,0.501046454,0.166294138,0.279017948,0.39777509,0.500601359,0.501689184,0.501427862,0.501979582,0.182474199,0.301647584,0.423798636,0.501829571,0.502011326,0.500808522,0.500355534,0.085188093,0.182825373,0.290315353,0.404274483,0.502093291,0.501273939,0.50097928,0.145340433,0.260823934,0.379799513,0.500694207,0.500781233,0.500782474,0.500916419,0.189692413,0.312607955,0.436679707,0.500553704,0.500020176,0.500820587,0.501495106,,,400137271,0.500857143,2581721.483,1067702.043,429527.418,78134.42534,10.47351092,4.997034126,3.422384294,2013179.66,795271.7935,257347.475,66.33580382,12.79794968,6.491254456,4.16027106,1740582.573,662054.8965,182312.5004,50.99014713,16.44468496,8.283732585,5.068758799,4874423.692,1733903.019,722345.4389,238698.9696,14.89204228,6.150989061,3.979602967,2441386.923,920454.8333,314921.2898,637.5530272,21.68423304,10.11041672,5.893484495,1635219.688,603940.99,147385.7258,136.8907887,47.83344925,22.01414511,11.54187372,,,400137271,0.10699,0.106974,0.091907,0.09195,0.091895,0.09187,0.09185,,,400137271,0.10699,2.192156,2.250898,2.459003,2.311553,2.848472,4.063268
400137271,0.572265306,0.139739868,0.241745361,0.35040533,0.46464014,0.572193984,0.571175156,0.571885772,0.166236595,0.278682516,0.396668367,0.518635236,0.572313164,0.572772688,0.572353361,0.182127349,0.301259162,0.42327624,0.5490971,0.571951535,0.573419696,0.572131151,0.08500629,0.182913006,0.291250246,0.404547486,0.52147766,0.57268949,0.572548496,0.14562808,0.260750598,0.380897102,0.500637657,0.571880958,0.57368568,0.572830988,0.189985728,0.312611238,0.436666416,0.559696865,0.572344987,0.573618826,0.571766917,,,400137271,0.572265306,2704888.901,1193873.824,555272.9121,201667.0442,43.02468527,6.36979045,4.016847959,2137233.137,922139.8021,384983.4269,88314.07592,25.94530854,8.579495693,4.999126575,1866938.985,789015.9086,303550.8061,39152.5373,31.23059204,11.3116924,6.239251332,4998983.125,1859860.364,844968.2391,362706.4969,85421.42454,8.026143916,4.730735409,2564408.221,1042864.013,441366.5811,123741.7777,51.11337897,13.98139174,7.288632616,1755756.835,728176.0336,270290.572,18966.3996,93.64623545,31.72202154,14.94850896,,,400137271,0.122131,0.122242,0.10681,0.107176,0.107193,0.107095,0.107091,,,400137271,0.122131,2.33811,2.403855,2.672468,2.48301,3.151459,4.655755
400137271,0.643673469,0.139980698,0.242029735,0.350223017,0.465140879,0.583158585,0.644222431,0.64310821,0.166078221,0.278718209,0.397212598,0.518789663,0.64275811,0.643719564,0.643211463,0.182635725,0.30230308,0.424270283,0.546900382,0.643368227,0.643248618,0.642697344,0.085137743,0.182909614,0.291154805,0.403689453,0.521415581,0.644869925,0.644312941,0.14560016,0.260539316,0.380682894,0.502401249,0.624970008,0.643316196,0.645117721,0.190217057,0.312436984,0.435309415,0.560563065,0.642225053,0.644154916,0.643285683,,,400137271,0.643673469,2796533.367,1288655.002,651330.685,299307.4731,81725.7462,8.790877279,4.805996408,2239169.598,1017220.043,480647.5562,186131.2103,2194.619493,11.84762245,6.125037363,1960195.803,880993.0662,400692.0341,137144.9795,104.2569213,15.92546334,7.776387136,5000000.783,1954282.094,940852.9098,459783.4402,183542.7906,11.35757236,5.713723011,2656347.56,1140481.121,538486.8633,217716.7446,24085.2035,20.2589601,9.121068733,1849977.414,823685.2132,370127.9652,115324.9186,282.0248932,46.66487773,19.51384891,,,400137271,0.137273,0.137207,0.122268,0.12203,0.122202,0.122171,0.122171,,,400137271,0.137273,2.494508,2.605118,2.916099,2.656687,3.455162,5.284337
