Seed,arrival rate,"(3,5)","(3,10)",,,Seed,arrival rate,"(BEB,5)","(BEB,10)"
400137271,0.001,0.00100053,0.001000521,,,400137271,0.001,1.524141792,1.524705454
400137271,0.011090909,0.011087976,0.011072826,,,400137271,0.011090909,1.569145713,1.574407872
400137271,0.021181818,0.0211704,0.021172175,,,400137271,0.021181818,1.616643492,1.626047374
400137271,0.031272727,0.031307934,0.031300865,,,400137271,0.031272727,1.665962684,1.679987078
400137271,0.041363636,0.041415915,0.04140324,,,400137271,0.041363636,1.722736467,1.745941236
400137271,0.051454546,0.051475174,0.051509124,,,400137271,0.051454546,1.782637329,1.805192697
400137271,0.061545455,0.061603457,0.061508095,,,400137271,0.061545455,1.843271953,1.876194085
400137271,0.071636364,0.071545627,0.071600758,,,400137271,0.071636364,1.915467185,1.943656086
400137271,0.081727273,0.081634434,0.081721432,,,400137271,0.081727273,1.991345367,2.035265443
400137271,0.091818182,0.091859764,0.091753487,,,400137271,0.091818182,2.068697115,2.118763493
400137271,0.101909091,0.101831132,0.101897387,,,400137271,0.101909091,2.164546001,2.219695526
400137271,0.112,0.112039351,0.112020993,,,400137271,0.112,2.255194991,2.321117225
400137271,0.122090909,0.121974656,0.121990881,,,400137271,0.122090909,2.355024423,2.430638643
400137271,0.132181818,0.13218002,0.13213794,,,400137271,0.132181818,2.488417686,2.580879879
400137271,0.142272727,0.142153044,0.142351956,,,400137271,0.142272727,2.625053113,2.728693285
400137271,0.152363636,0.152252349,0.152490323,,,400137271,0.152363636,2.806038989,2.875507329
400137271,0.162454546,0.162430257,0.162581477,,,400137271,0.162454546,2.997717337,3.13929334
400137271,0.172545455,0.172452386,0.172669795,,,400137271,0.172545455,3.141176785,3.297206276
400137271,0.182636364,0.182579728,0.182963703,,,400137271,0.182636364,3.421548282,3.578545081
400137271,0.192727273,0.192521331,0.192757755,,,400137271,0.192727273,3.750732421,3.994925456
400137271,0.202818182,0.202823321,0.20284871,,,400137271,0.202818182,5.182063407,4.448234934
400137271,0.212909091,0.212501297,0.213042541,,,400137271,0.212909091,4.554773945,5.183350556
400137271,0.223,0.223176627,0.222829922,,,400137271,0.223,5.148758452,6.24636243
400137271,0.233090909,0.232985751,0.233192735,,,400137271,0.233090909,5.653713824,10.69734401
400137271,0.243181818,0.243216095,0.243191178,,,400137271,0.243181818,7.4567892,17.11001585
400137271,0.253272727,0.253139981,0.253222363,,,400137271,0.253272727,94.4429684,18.60330281
400137271,0.263363636,0.263305482,0.263376855,,,400137271,0.263363636,10.06038483,16.55295015
400137271,0.273454546,0.273665503,0.273503269,,,400137271,0.273454546,17.71531098,39.54625512
400137271,0.283545455,0.283722947,0.283225994,,,400137271,0.283545455,419.4806858,169.6255336
400137271,0.293636364,0.294006102,0.293344217,,,400137271,0.293636364,81.29649433,136.4967321
400137271,0.303727273,0.303956193,0.303969481,,,400137271,0.303727273,134.9415702,1529.290295
400137271,0.313818182,0.313959278,0.313507892,,,400137271,0.313818182,198.7011748,1219.555366
400137271,0.323909091,0.323931457,0.320796566,,,400137271,0.323909091,966.5115112,40469.47771
400137271,0.334,0.333566337,0.331347226,,,400137271,0.334,651.9430968,60184.22898
400137271,0.344090909,0.343734805,0.332537764,,,400137271,0.344090909,2498.947169,25029.75767
400137271,0.354181818,0.354328089,0.34158256,,,400137271,0.354181818,4995.11594,18953.66072
400137271,0.364272727,0.364322887,0.352087984,,,400137271,0.364272727,2542.883216,10563.28611
400137271,0.374363636,0.371441849,0.367201003,,,400137271,0.374363636,2879.997058,10383.20932
400137271,0.384454546,0.382861448,0.380279666,,,400137271,0.384454546,63809.4462,51287.63835
400137271,0.394545455,0.394015831,0.389740009,,,400137271,0.394545455,6007.703614,27566.35621
400137271,0.404636364,0.401496311,0.401684335,,,400137271,0.404636364,6260.290429,40463.20384
400137271,0.414727273,0.38660125,0.402068496,,,400137271,0.414727273,133030.1493,74183.61363
400137271,0.424818182,0.388198328,0.385197577,,,400137271,0.424818182,19801.52341,20615.56024
400137271,0.434909091,0.423187147,0.417565028,,,400137271,0.434909091,44911.74095,75818.7655
400137271,0.445,0.438454307,0.419813327,,,400137271,0.445,24896.99945,42851.34347
400137271,0.455090909,0.432707436,0.407965189,,,400137271,0.455090909,26924.89202,42594.67015
400137271,0.465181818,0.439820177,0.422731331,,,400137271,0.465181818,13685.08114,66313.99564
400137271,0.475272727,0.408711478,0.422478119,,,400137271,0.475272727,10074.4648,20335.20277
400137271,0.485363636,0.474657457,0.427332668,,,400137271,0.485363636,59519.54703,47639.64002
400137271,0.495454546,0.459872976,0.47695602,,,400137271,0.495454546,48701.95736,105289.9469
400137271,0.505545455,0.491141282,0.458243024,,,400137271,0.505545455,45023.49227,40390.0913
400137271,0.515636364,0.469075937,0.461646912,,,400137271,0.515636364,72917.97108,56732.32345
400137271,0.525727273,0.454396667,0.441456621,,,400137271,0.525727273,69093.18035,119239.9813
400137271,0.535818182,0.455381272,0.487745404,,,400137271,0.535818182,23627.89828,105568.5782
400137271,0.545909091,0.451241943,0.462548843,,,400137271,0.545909091,44887.78784,114535.5358
400137271,0.556,0.487239754,0.465286503,,,400137271,0.556,44084.23838,93982.06203
400137271,0.566090909,0.471513989,0.473324431,,,400137271,0.566090909,151562.1114,86210.41197
400137271,0.576181818,0.505482113,0.510787988,,,400137271,0.576181818,183578.5571,99052.23651
400137271,0.586272727,0.534661178,0.480186121,,,400137271,0.586272727,65175.46658,79131.723
400137271,0.596363636,0.378979446,0.489700015,,,400137271,0.596363636,3640.776999,87895.59873
400137271,0.606454546,0.524380442,0.488006882,,,400137271,0.606454546,93709.29386,45098.33738
400137271,0.616545455,0.522929926,0.508118961,,,400137271,0.616545455,157388.8724,121096.0587
400137271,0.626636364,0.533441373,0.508890953,,,400137271,0.626636364,59261.75725,95527.44211
400137271,0.636727273,0.512470616,0.52389427,,,400137271,0.636727273,126102.2375,53587.4935
400137271,0.646818182,0.516158872,0.506195138,,,400137271,0.646818182,62589.00644,101018.0571
400137271,0.656909091,0.535500786,0.551124554,,,400137271,0.656909091,221390.7362,70117.44028
400137271,0.667,0.572615158,0.585085199,,,400137271,0.667,151742.3472,87237.38595
400137271,0.677090909,0.54918085,0.590654975,,,400137271,0.677090909,110572.039,108987.6568
