Seed,arrival rate,"(3,5)","(3,10)",,Seed,arrival rate,"(3,5)","(3,10)",,Theory
400137271,0.001,0.001001836,0.001001944,,400137271,0.001,0.00100053,0.001000521,,0.001000833
400137271,0.011090909,0.011253608,0.011260787,,400137271,0.011090909,0.011087976,0.011072826,,0.011127675
400137271,0.021181818,0.021785527,0.021862303,,400137271,0.021181818,0.0211704,0.021172175,,0.02131605
400137271,0.031272727,0.032657619,0.032828253,,400137271,0.031272727,0.031307934,0.031300865,,0.031608325
400137271,0.041363636,0.043831498,0.044166533,,400137271,0.041363636,0.041415915,0.04140324,,0.041951794
400137271,0.051454546,0.055300655,0.055822601,,400137271,0.051454546,0.051475174,0.051509124,,0.052325514
400137271,0.061545455,0.067150171,0.067818702,,400137271,0.061545455,0.061603457,0.061508095,,0.062789088
400137271,0.071636364,0.079225549,0.080208601,,400137271,0.071636364,0.071545627,0.071600758,,0.07319106
400137271,0.081727273,0.091722164,0.093357501,,400137271,0.081727273,0.081634434,0.081721432,,0.083683505
400137271,0.091818182,0.104885111,0.106611772,,400137271,0.091818182,0.091859764,0.091753487,,0.094441487
400137271,0.101909091,0.118248042,0.12077021,,400137271,0.101909091,0.101831132,0.101897387,,0.105060505
400137271,0.112,0.13212274,0.135033353,,400137271,0.112,0.112039351,0.112020993,,0.115770363
400137271,0.122090909,0.146112343,0.149854086,,400137271,0.122090909,0.121974656,0.121990881,,0.126249923
400137271,0.132181818,0.161233452,0.165792548,,400137271,0.132181818,0.13218002,0.13213794,,0.13722472
400137271,0.142272727,0.176505607,0.18202929,,400137271,0.142272727,0.142153044,0.142351956,,0.147945954
400137271,0.152363636,0.19257608,0.199224033,,400137271,0.152363636,0.152252349,0.152490323,,0.158842829
400137271,0.162454546,0.209231936,0.216779639,,400137271,0.162454546,0.162430257,0.162581477,,0.169730425
400137271,0.172545455,0.225603591,0.23507853,,400137271,0.172545455,0.172452386,0.172669795,,0.180039423
400137271,0.182636364,0.243574868,0.255129528,,400137271,0.182636364,0.182579728,0.182963703,,0.190919046
400137271,0.192727273,0.262186522,0.274690596,,400137271,0.192727273,0.192521331,0.192757755,,0.201717791
400137271,0.202818182,0.281062215,0.295998867,,400137271,0.202818182,0.202823321,0.20284871,,0.212196734
