Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,0.0001996666,0.0000998764
400137271,0.0060404040,0.0012095940,0.0006046768
400137271,0.0110808081,0.0022145751,0.0011063913
400137271,0.0161212121,0.0032220342,0.0016089230
400137271,0.0211616162,0.0042371449,0.0021070615
400137271,0.0262020202,0.0052473231,0.0026092646
400137271,0.0312424242,0.0062554271,0.0031131886
400137271,0.0362828283,0.0072650235,0.0036197209
400137271,0.0413232323,0.0082799097,0.0041271418
400137271,0.0463636364,0.0092845840,0.0046353123
400137271,0.0514040404,0.0102994279,0.0051365859
400137271,0.0564444444,0.0113062015,0.0056379101
400137271,0.0614848485,0.0123108200,0.0061475153
400137271,0.0665252525,0.0133212708,0.0066517159
400137271,0.0715656566,0.0143097500,0.0071514076
400137271,0.0766060606,0.0153346366,0.0076496832
400137271,0.0816464646,0.0163505224,0.0081557199
400137271,0.0866868687,0.0173687666,0.0086516562
400137271,0.0917272727,0.0183488228,0.0091511342
400137271,0.0967676768,0.0193767425,0.0096635721
400137271,0.1018080808,0.0203939949,0.0101808433
400137271,0.1068484848,0.0213886448,0.0107007692
400137271,0.1118888889,0.0224055186,0.0111913591
400137271,0.1169292929,0.0234235253,0.0116937950
400137271,0.1219696970,0.0244498202,0.0122024863
400137271,0.1270101010,0.0254262864,0.0126849628
400137271,0.1320505051,0.0263995525,0.0132086329
400137271,0.1370909091,0.0274471870,0.0137076524
400137271,0.1421313131,0.0284577303,0.0142338651
400137271,0.1471717172,0.0294777698,0.0147116446
400137271,0.1522121212,0.0305186875,0.0152570250
400137271,0.1572525253,0.0314606330,0.0157243297
400137271,0.1622929293,0.0324551403,0.0162638472
400137271,0.1673333333,0.0334926695,0.0167575562
400137271,0.1723737374,0.0344575572,0.0168893295
400137271,0.1774141414,0.0355180647,0.0177873240
400137271,0.1824545455,0.0366278116,0.0182251935
400137271,0.1874949495,0.0376059609,0.0187392309
400137271,0.1925353535,0.0385754344,0.0192935944
400137271,0.1975757576,0.0395506576,0.0197012268
400137271,0.2026161616,0.0405217008,0.0202698278
400137271,0.2076565657,0.0415123909,0.0207446707
400137271,0.2126969697,0.0425175535,0.0212555838
400137271,0.2177373737,0.0436345879,0.0217310743
400137271,0.2227777778,0.0445069492,0.0223063391
400137271,0.2278181818,0.0456219868,0.0226895429
400137271,0.2328585859,0.0316219471,0.0232819556
400137271,0.2378989899,0.0476090531,0.0237511547
400137271,0.2429393939,0.0485582896,0.0241836027
400137271,0.2479797980,0.0496199108,0.0119639195
400137271,0.2530202020,0.0502047148,0.0252798517
400137271,0.2580606061,0.0516420131,0.0255098298
400137271,0.2631010101,0.0526949742,0.0262938157
400137271,0.2681414141,0.0535589750,0.0268574320
400137271,0.2731818182,0.0530576265,0.0273049759
400137271,0.2782222222,0.0555289823,0.0277321243
400137271,0.2832626263,0.0567169855,0.0282071741
400137271,0.2883030303,0.0444350822,0.0284828711
400137271,0.2933434343,0.0580357701,0.0237014681
400137271,0.2983838384,0.0239107493,0.0298544091
400137271,0.3034242424,0.0598805020,0.0209860531
400137271,0.3084646465,0.0596646149,0.0226339675
400137271,0.3135050505,0.0544687244,0.0313104975
400137271,0.3185454545,0.0638035846,0.0317887621
400137271,0.3235858586,0.0647290092,0.0322569573
400137271,0.3286262626,0.0259836336,0.0260480499
400137271,0.3336666667,0.0667493954,0.0333689723
400137271,0.3387070707,0.0614240168,0.0162519788
400137271,0.3437474747,0.0278699443,0.0344164095
400137271,0.3487878788,0.0686241455,0.0220863322
400137271,0.3538282828,0.0691718872,0.0313288970
400137271,0.3588686869,0.0718214912,0.0358382393
400137271,0.3639090909,0.0583712230,0.0339562103
400137271,0.3689494949,0.0442991570,0.0268067330
400137271,0.3739898990,0.0733799481,0.0373920361
400137271,0.3790303030,0.0401440962,0.0362950994
400137271,0.3840707071,0.0762685072,0.0296428500
400137271,0.3891111111,0.0752979442,0.0386145904
400137271,0.3941515152,0.0789860816,0.0394280645
400137271,0.3991919192,0.0798756685,0.0399124634
400137271,0.4042323232,0.0204331662,0.0390025958
400137271,0.4092727273,0.0805957574,0.0391269608
400137271,0.4143131313,0.0821718335,0.0396036812
400137271,0.4193535354,0.0788782662,0.0384314754
400137271,0.4243939394,0.0848311451,0.0361649265
400137271,0.4294343434,0.0615614094,0.0278729032
400137271,0.4344747475,0.0137910948,0.0434025147
400137271,0.4395151515,0.0795765687,0.0439081074
400137271,0.4445555556,0.0814276890,0.0356666056
400137271,0.4495959596,0.0295065126,0.0446748710
400137271,0.4546363636,0.0715299858,0.0449488659
400137271,0.4596767677,0.0872065145,0.0460014287
400137271,0.4647171717,0.0118551677,0.0464119875
400137271,0.4697575758,0.0849996377,0.0469001246
400137271,0.4747979798,0.0546980677,0.0469820304
400137271,0.4798383838,0.0844112874,0.0418233721
400137271,0.4848787879,0.0948351120,0.0169159533
400137271,0.4899191919,0.0979356247,0.0443246418
400137271,0.4949595960,0.0227882890,0.0029315273
400137271,0.5000000000,0.0984163959,0.0446732212

