trunks,load,pb0.1
1,0.010299782997830,0.010194778986558
2,0.152796457964580,0.010024629590976
3,0.455489394893949,0.010000229113642
4,0.869479734797352,0.010002200521000
5,1.360868268682599,0.010002187140424
6,1.909255472554763,0.010004875593510
7,2.501141661416870,0.010003654229770
8,3.127827038270869,0.010004151483641
9,3.782711757118300,0.010002424601735
10,4.461295922960208,0.010001490252180
11,5.159979619797434,0.010000695265847
12,5.876062910630606,0.010000802828507
13,6.607445844458865,0.010002689415159
14,7.351728477283815,0.010000437888340
15,8.108310823105871,0.010002305249668
16,8.875092930925529,0.010000520250217
17,9.651774807742861,0.010001327538780
18,10.437156481558144,0.010002023601511
19,11.230337973371594,0.010001638888825
20,12.030719297183349,0.010000704062382
21,12.838000459993481,0.010001059774241
22,13.651281482802204,0.010000106781632
23,14.470562365609513,0.010000665186206
24,15.295243122415556,0.010001407084231
25,16.124723767220466,0.010000943480923
26,16.959004300024251,0.010001118984641
27,17.797484734827044,0.010000229030709
28,18.640465064628781,0.010001233335378
29,19.487045310429671,0.010000669815976
30,20.337525465229646,0.010001163068403
31,21.191305543028843,0.010000726415320
32,22.048385543827262,0.010000261344319
33,22.908765467624907,0.010000517493927
34,23.772145321421846,0.010000798390239
35,24.638225112218151,0.010000419866095
36,25.507304833013752,0.010001240516204
37,26.378784497808788,0.010001211459213
38,27.252664106603255,0.010000841733300
39,28.128943659397159,0.010000569185487
40,29.007623156190501,0.010000770848774
41,29.888402603983348,0.010000626336756
42,0.000000000000000,0.000000000000000
43,0.000000000000000,0.000000000000000
44,0.000000000000000,0.000000000000000
45,0.000000000000000,0.000000000000000
46,0.000000000000000,0.000000000000000
47,0.000000000000000,0.000000000000000
48,0.000000000000000,0.000000000000000
49,0.000000000000000,0.000000000000000
50,0.000000000000000,0.000000000000000

