Seed,arrival rate,"(3,5,1.00,0.50)","(3,5,1.00,0.75)","(3,5,1.00,1.00)","(3,5,1.00,1.25)","(3,5,1.00,1.50)","(3,5,1.00,2.00)","(3,5,1.00,3.00)","(5,5,1.00,0.50)","(5,5,1.00,0.75)","(5,5,1.00,1.00)","(5,5,1.00,1.25)","(5,5,1.00,1.50)","(5,5,1.00,2.00)","(5,5,1.00,3.00)","(7,5,1.00,0.50)","(7,5,1.00,0.75)","(7,5,1.00,1.00)","(7,5,1.00,1.25)","(7,5,1.00,1.50)","(7,5,1.00,2.00)","(7,5,1.00,3.00)","(5,10,1.00,0.50)","(5,10,1.00,0.75)","(5,10,1.00,1.00)","(5,10,1.00,1.25)","(5,10,1.00,1.50)","(5,10,1.00,2.00)","(5,10,1.00,3.00)","(10,10,1.00,0.50)","(10,10,1.00,0.75)","(10,10,1.00,1.00)","(10,10,1.00,1.25)","(10,10,1.00,1.50)","(10,10,1.00,2.00)","(10,10,1.00,3.00)","(20,10,1.00,0.50)","(20,10,1.00,0.75)","(20,10,1.00,1.00)","(20,10,1.00,1.25)","(20,10,1.00,1.50)","(20,10,1.00,2.00)","(20,10,1.00,3.00)"
400137271,1.2149387755,0.1396798930,0.2421600678,0.3500453243,0.4650652570,0.5823594068,0.8245617472,0.9999876951,0.1658885704,0.2793940892,0.3976834216,0.5189317029,0.6418906532,0.8943474649,0.9999871445,0.1825035280,0.3016532362,0.4233864433,0.5491253128,0.6756872741,0.9283247694,0.9999649276,0.0850581017,0.1829016161,0.2915553427,0.4050393210,0.5217272302,0.7604566810,0.9999890107,0.1453962704,0.2602487278,0.3799903587,0.5024686512,0.6255625166,0.8722132524,0.9999971629,0.1897494163,0.3131261701,0.4357481673,0.5608270838,0.6834973734,0.9315217654,0.9999776913
400137271,1.2863469388,0.1399107542,0.2419180519,0.3507244720,0.4650436441,0.5821806836,0.8254771571,0.9999944784,0.1659690901,0.2787750729,0.3973386402,0.5188471170,0.6443723067,0.8939210383,0.9999851612,0.1824902241,0.3009774568,0.4244115098,0.5484291722,0.6745249691,0.9309234300,0.9999758490,0.0854449577,0.1829146139,0.2916620736,0.4041899526,0.5222442747,0.7605988775,0.9999965912,0.1453641010,0.2612254412,0.3798875415,0.5009788915,0.6250535815,0.8705453388,0.9999930814,0.1904553789,0.3129695725,0.4370499239,0.5607014637,0.6858617391,0.9343592730,0.9999525801
400137271,1.3577551020,0.1397490219,0.2423563096,0.3498817618,0.4645704476,0.5822526329,0.8227446015,0.9999896826,0.1660004454,0.2788299925,0.3979623613,0.5203565850,0.6421937171,0.8930508287,0.9999939977,0.1826845535,0.3013869513,0.4226565724,0.5481657435,0.6739437597,0.9300265934,0.9999892593,0.0851526225,0.1833695014,0.2912395860,0.4050656463,0.5223037039,0.7595628313,0.9999787734,0.1458963562,0.2611137994,0.3802591500,0.5031457067,0.6256717288,0.8721401540,0.9999811840,0.1900803242,0.3125139460,0.4343988005,0.5605428206,0.6849734674,0.9362457138,0.9999601451
400137271,1.4291632653,0.1398857149,0.2426221732,0.3502588661,0.4645299636,0.5823301232,0.8231877691,0.9999904417,0.1662889332,0.2793220592,0.3976992086,0.5198327956,0.6428831214,0.8940096725,0.9999881972,0.1822522365,0.3012186583,0.4238743638,0.5477726833,0.6734783054,0.9286814683,0.9999957335,0.0850755449,0.1828509664,0.2921520095,0.4047156717,0.5218074182,0.7599458650,0.9999954593,0.1453970989,0.2609277724,0.3795284628,0.5018039764,0.6257697842,0.8708033878,0.9999815141,0.1901443294,0.3122377190,0.4365387480,0.5613472776,0.6875425564,0.9345549422,0.9999945560
400137271,1.5005714286,0.1397344876,0.2423952009,0.3505836408,0.4654169016,0.5823768735,0.8246506074,0.9999924628,0.1663616390,0.2790827193,0.3973461100,0.5189322884,0.6421722067,0.8933868130,0.9999936314,0.1825890022,0.3014216211,0.4237899645,0.5494019373,0.6751293829,0.9312016742,0.9999869019,0.0852648950,0.1833294103,0.2903760235,0.4051285056,0.5206718561,0.7610637337,0.9999882639,0.1456051646,0.2603786681,0.3802062067,0.5016774651,0.6256950054,0.8720427984,0.9999883782,0.1899554717,0.3122381566,0.4363390907,0.5614841320,0.6844560785,0.9379296210,0.9999748087
400137271,1.5719795918,0.1400189319,0.2421457383,0.3508597191,0.4663869809,0.5835181445,0.8240342848,0.9999967155,0.1660683022,0.2789825323,0.3978582403,0.5201655410,0.6432151292,0.8950953194,0.9999967167,0.1828889902,0.3009057473,0.4229888809,0.5476680468,0.6755879342,0.9277220032,0.9999965458,0.0850493136,0.1831364237,0.2910467072,0.4043047542,0.5211075151,0.7607998210,0.9999816481,0.1454734303,0.2612564685,0.3805169070,0.5025616691,0.6244764469,0.8729983065,0.9999830434,0.1900662138,0.3127064964,0.4353204916,0.5604882179,0.6847375860,0.9371086694,0.9999878468
400137271,1.6433877551,0.1395803062,0.2420848144,0.3497552634,0.4650331792,0.5821483143,0.8215588115,0.9999963934,0.1656303679,0.2787683652,0.3969945174,0.5191562471,0.6428252410,0.8926467819,0.9999968186,0.1823174062,0.3013831776,0.4230721806,0.5485882867,0.6757547423,0.9283507534,0.9999924480,0.0851355295,0.1828261379,0.2906600559,0.4055758653,0.5213271375,0.7602954232,0.9999993237,0.1454696962,0.2606347376,0.3805273581,0.5016882695,0.6236863926,0.8729838521,0.9999993242,0.1902215294,0.3130049704,0.4365593703,0.5612269328,0.6852889764,0.9385179163,0.9999938742
400137271,1.7147959184,0.1398827102,0.2426756152,0.3504532220,0.4657258076,0.5829005982,0.8240000536,0.9999993227,0.1659119319,0.2785130578,0.3977147223,0.5197394830,0.6434934661,0.8936688971,0.9999993236,0.1825550126,0.3011642299,0.4238698347,0.5497355313,0.6754051485,0.9286746840,0.9999993237,0.0851974787,0.1832464697,0.2916513571,0.4049922409,0.5222393661,0.7604775419,0.9999982325,0.1452601311,0.2607067200,0.3798687360,0.5029114911,0.6246346717,0.8735099962,0.9999931835,0.1901567333,0.3126585460,0.4363018675,0.5599307453,0.6845082702,0.9352908753,0.9999746940
400137271,1.7862040816,0.1399035828,0.2418644452,0.3502466841,0.4649002754,0.5825841859,0.8236151194,0.9999948989,0.1659277425,0.2787077826,0.3977612007,0.5187144841,0.6436975532,0.8950120012,0.9999851922,0.1824290441,0.3010629330,0.4232707674,0.5496689667,0.6722665175,0.9278275962,0.9999786302,0.0850592686,0.1830797426,0.2913699171,0.4044434190,0.5217109423,0.7608906853,0.9999899725,0.1453078665,0.2605304225,0.3809382034,0.5014369819,0.6245310060,0.8729532451,0.9999968611,0.1901380745,0.3124434654,0.4354821607,0.5607868552,0.6876033931,0.9343792903,0.9999794326
400137271,1.8576122449,0.1397834434,0.2424304723,0.3506224335,0.4646075771,0.5816272223,0.8243586788,0.9999993232,0.1659608983,0.2789919180,0.3980707115,0.5203428307,0.6423224700,0.8933455040,0.9999929667,0.1825955406,0.3010577048,0.4224622380,0.5483747625,0.6758942785,0.9276556256,0.9999835670,0.0851088195,0.1827825555,0.2912309602,0.4045090997,0.5225834516,0.7586377392,0.9999904679,0.1453403205,0.2609386765,0.3801559524,0.5028124506,0.6250191786,0.8736957840,0.9999958879,0.1902732389,0.3122695306,0.4370643547,0.5599606987,0.6841185494,0.9366549747,0.9999972167
