Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)",,,Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)"
400137271,0.001,0.001004536,0.001002149,0.001001893,0.001001689,0.001000196,0.001000192,0.001001944,0.001004845,0.0010024,0.001000421,0.001000079,0.001001373,0.001000245,0.001001702,,,400137271,0.001,0.001000951,0.00100147,0.001002441,0.001001756,0.001000341,0.00099968,0.001003778,0.001000228,0.001001038,0.001000224,0.001000079,0.001002766,0.001000042,0.001003521
400137271,0.072408163,0.100132453,0.084233336,0.080183902,0.077929409,0.076707166,0.075355367,0.074117281,0.104544617,0.08596779,0.081212099,0.078609213,0.077357469,0.075756111,0.074364997,,,400137271,0.072408163,0.072474524,0.072329813,0.0723972,0.072479221,0.072428288,0.072516448,0.072376275,0.072465825,0.072437675,0.072405625,0.072453229,0.072568362,0.07256419,0.072473585
400137271,0.143816327,0.279769281,0.200770244,0.179176464,0.167112266,0.162349864,0.156112311,0.15099629,0.279397346,0.210864449,0.184477264,0.170847684,0.16467135,0.157654681,0.151904225,,,400137271,0.143816327,0.144007091,0.143856538,0.143935135,0.143835477,0.144165995,0.144193112,0.143895602,0.141151012,0.144088228,0.143977332,0.14394904,0.143948846,0.144181237,0.143928464
400137271,0.21522449,0.30241095,0.373168557,0.307050337,0.274513375,0.259702721,0.244162596,0.23218431,0.312653743,0.409721066,0.324165953,0.284922311,0.26637534,0.24849706,0.234481745,,,400137271,0.21522449,0.195381597,0.215584468,0.215660298,0.21545743,0.21545641,0.215285531,0.215870852,0.211186498,0.214785295,0.215522489,0.215467297,0.215007971,0.215350918,0.2158893
400137271,0.286632653,0.308217176,0.435599441,0.471665526,0.405452031,0.372922727,0.341604407,0.317252883,0.306554488,0.437525916,0.515811164,0.430966396,0.388861315,0.349703722,0.321887138,,,400137271,0.286632653,0.228833838,0.284897967,0.287170342,0.286043637,0.286616749,0.286419376,0.286440917,0.237663294,0.277391099,0.286660034,0.286648238,0.286944127,0.286032193,0.286858824
400137271,0.358040816,0.324362122,0.430217135,0.531487238,0.569021748,0.50922857,0.449077122,0.407349689,0.32056762,0.465584711,0.55797412,0.625008395,0.542992954,0.464960995,0.415117812,,,400137271,0.358040816,0.29728245,0.355983219,0.35523449,0.357545346,0.359141599,0.357682605,0.357488859,0.269659454,0.304323778,0.341470147,0.359051525,0.358658178,0.357824648,0.357669307
400137271,0.42944898,0.337610929,0.441771134,0.579364036,0.709331528,0.670022394,0.570121639,0.502891933,0.336751609,0.465655942,0.594979434,0.693702887,0.734139679,0.597568859,0.515684697,,,400137271,0.42944898,0.301869742,0.341311393,0.424116548,0.428434215,0.429808635,0.428939917,0.428432662,0.304840006,0.372653505,0.404738292,0.408976011,0.429990446,0.428709106,0.429347001
400137271,0.500857143,0.365707913,0.477179059,0.549253537,0.683019989,0.818829739,0.70813139,0.606012613,0.352021066,0.456099716,0.574489358,0.739464054,0.864044291,0.753058926,0.622740904,,,400137271,0.500857143,0.332596306,0.438324879,0.44355153,0.484388349,0.501368027,0.501040259,0.500329883,0.321383587,0.36800423,0.417620447,0.493180931,0.499344413,0.499390213,0.500493695
400137271,0.572265306,0.336318902,0.435176202,0.578328117,0.674626343,0.79135149,0.866360064,0.717617146,0.318621516,0.491494441,0.606503826,0.736505485,0.856114317,0.934889047,0.742728005,,,400137271,0.572265306,0.312748443,0.393536879,0.462943913,0.528361377,0.564406301,0.572571443,0.572054511,0.303100115,0.454411703,0.470370872,0.523104589,0.547202311,0.572638494,0.572720582
400137271,0.643673469,0.393985049,0.44602709,0.647773086,0.748878892,0.840651802,1.021364197,0.836120932,0.369114799,0.458874752,0.610664937,0.746495006,0.88046947,1.106535756,0.87417304,,,400137271,0.643673469,0.392993882,0.407047689,0.610278973,0.633010024,0.602703931,0.644251795,0.64379781,0.355837726,0.3724988,0.507283452,0.584527375,0.638339822,0.641869807,0.643833764
