Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)",,,,,Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)",,,yeetus
400137271,0.001,0.001000951,0.00100147,0.001002441,0.001001756,0.001000341,0.00099968,0.001003778,0.001000228,0.001001038,0.001000224,0.001000079,0.001002766,0.001000042,0.001003521,,,,,400137271,0.001,4.064777054,3.035505784,2.5255352,2.220268312,2.017020202,1.762110761,1.51024283,4.066104673,3.036902563,2.526252831,2.220396414,2.018443703,1.762660666,1.510236716,,,1
400137271,0.072408163,0.072474524,0.072329813,0.0723972,0.072479221,0.072428288,0.072516448,0.072376275,0.072465825,0.072437675,0.072405625,0.072453229,0.072568362,0.07256419,0.072473585,,,,,400137271,0.072408163,7.18554356,3.862204192,2.97411805,2.51061399,2.237779194,1.91690157,1.621132163,7.440321535,3.929462006,3.005095697,2.53005226,2.253445435,1.925250754,1.626892994,,,2
400137271,0.143816327,0.144007091,0.143856538,0.143935135,0.143835477,0.144165995,0.144193112,0.143895602,0.141151012,0.144088228,0.143977332,0.14394904,0.143948846,0.144181237,0.143928464,,,,,400137271,0.143816327,372.1143533,6.076941096,3.764356655,2.924120008,2.53780039,2.114858915,1.757206554,59791.10699,6.601198021,3.844643153,2.97521559,2.563361795,2.128114529,1.764560417,,,3
400137271,0.21522449,0.195381597,0.215584468,0.215660298,0.21545743,0.21545641,0.215285531,0.215870852,0.211186498,0.214785295,0.215522489,0.215467297,0.215007971,0.215350918,0.2158893,,,,,400137271,0.21522449,129209.0172,40.64422193,6.112991435,3.665556327,2.985863428,2.36251909,1.921418945,123187.5831,320.803153,6.518443545,3.811916689,3.033858323,2.38280914,1.932884796,,,0
400137271,0.286632653,0.228833838,0.284897967,0.287170342,0.286043637,0.286616749,0.286419376,0.286440917,0.237663294,0.277391099,0.286660034,0.286648238,0.286944127,0.286032193,0.286858824,,,,,400137271,0.286632653,47314.7559,6272.72361,101.3876541,5.9608974,3.802383469,2.707617907,2.111477247,294122.2624,48672.48091,1049.395029,11.61580439,3.983184691,3.090028384,2.126445905,,,1
400137271,0.358040816,0.29728245,0.355983219,0.35523449,0.357545346,0.359141599,0.357682605,0.357488859,0.269659454,0.304323778,0.341470147,0.359051525,0.358658178,0.357824648,0.357669307,,,,,400137271,0.358040816,131632.4242,68074.18461,7020.559283,21.58765553,6.902712943,3.205509908,2.353606996,200874.6044,24573.06017,34041.39611,196.5099741,10.26192506,3.283206795,2.368177177,,,2
400137271,0.42944898,0.301869742,0.341311393,0.424116548,0.428434215,0.429808635,0.428939917,0.428432662,0.304840006,0.372653505,0.404738292,0.408976011,0.429990446,0.428709106,0.429347001,,,,,400137271,0.42944898,167109.4254,64861.56258,22324.34594,434.3699307,22.85782155,4.118490205,2.706075912,265458.6543,122579.5457,22714.80365,7805.093319,87.51740368,4.292117986,2.684578087,,,3
400137271,0.500857143,0.332596306,0.438324879,0.44355153,0.484388349,0.501368027,0.501040259,0.500329883,0.321383587,0.36800423,0.417620447,0.493180931,0.499344413,0.499390213,0.500493695,,,,,400137271,0.500857143,203034.0171,113115.0719,37807.23783,10206.07173,290.7725536,6.143924687,3.080943291,335865.3273,120182.1114,30056.75526,25659.35523,3544.24573,7.625075899,3.096126119,,,0
400137271,0.572265306,0.312748443,0.393536879,0.462943913,0.528361377,0.564406301,0.572571443,0.572054511,0.303100115,0.454411703,0.470370872,0.523104589,0.547202311,0.572638494,0.572720582,,,,,400137271,0.572265306,459817.5761,233111.4891,148027.1588,37382.43185,10941.36852,13.55725514,4.225598527,339920.6343,246484.7723,80705.52115,24754.34729,76583.77453,417.4506217,3.691302095,,,1
400137271,0.643673469,0.392993882,0.407047689,0.610278973,0.633010024,0.602703931,0.644251795,0.64379781,0.355837726,0.3724988,0.507283452,0.584527375,0.638339822,0.641869807,0.643833764,,,,,400137271,0.643673469,345123.5909,245277.7543,76039.06618,22142.75403,73410.69848,91.94029425,4.544376891,301016.8674,184351.0354,85994.06742,62985.78903,38062.97268,848.6738142,4.858341727,,,2
