0.005,10.254398,400137271,100000,105158,0.048965,0.04905,1
0.055,13.326692,400137271,100000,173238,0.423204,0.422759,1
0.105,17.716101,400137271,100000,286065,0.650069,0.650429,1
0.155,23.940914,400137271,100000,471060,0.787549,0.787713,1
0.205,33.026785,400137271,100000,776608,0.871442,0.871235,1
0.255,46.321339,400137271,100000,1280774,0.922098,0.921922,1
0.305,65.857822,400137271,100000,2107667,0.952712,0.952554,1
0.355,95.206807,400137271,100000,3479219,0.971413,0.971258,1
0.405,139.317525,400137271,100000,5741569,0.982679,0.982583,1
0.455,205.69864,400137271,100000,9460481,0.989547,0.98943,1
0.505,308.012138,400137271,100000,15656627,0.993716,0.993613,1
0.555,463.521173,400137271,100000,25829264,0.99621,0.996128,1
0.605,699.398276,400137271,100000,42417714,0.99772,0.997642,1
0.655,1083.423699,400137271,100000,71075154,0.99865,0.998593,1
0.005,10.267528,400137271,100000,100000,0.051561,0,10
0.055,16.174638,400137271,100000,100003,0.893448,0.00002,10
0.105,60.909485,400137271,100000,108660,5.911659,0.079615,10
0.155,89.506052,400137271,100000,155152,8.950314,0.355419,10
0.205,93.959071,400137271,100000,204744,9.395907,0.511541,10
0.255,95.642575,400137271,100000,254457,9.564257,0.606971,10
0.305,96.519315,400137271,100000,305005,9.651932,0.672107,10
0.355,97.093119,400137271,100000,354857,9.709312,0.718171,10
0.405,97.487093,400137271,100000,405026,9.748709,0.75308,10
0.455,97.780604,400137271,100000,454983,9.77806,0.780192,10
0.505,98.012698,400137271,100000,505187,9.80127,0.802036,10
0.555,98.19338,400137271,100000,555247,9.819338,0.819884,10
0.605,98.339072,400137271,100000,605151,9.833907,0.834737,10
0.655,98.472904,400137271,100000,655302,9.84729,0.847385,10
0.005,10.267528,400137271,100000,100000,0.051561,0,100
0.055,16.179246,400137271,100000,100001,0.893712,0,100
0.105,896.362551,400137271,100000,105418,89.634472,0.050646,100
0.155,988.65345,400137271,100000,155143,98.865345,0.354795,100
0.205,993.509286,400137271,100000,204744,99.350929,0.511102,100
0.255,995.334012,400137271,100000,254457,99.533401,0.606617,100
0.305,996.285155,400137271,100000,305005,99.628515,0.671812,100
0.355,996.904672,400137271,100000,354857,99.690467,0.717917,100
0.405,997.329571,400137271,100000,405026,99.732957,0.752858,100
0.455,997.645812,400137271,100000,454983,99.764581,0.779994,100
0.505,997.894646,400137271,100000,505187,99.789465,0.801858,100
0.555,998.088297,400137271,100000,555247,99.80883,0.819722,100
0.605,998.244468,400137271,100000,605151,99.824447,0.834588,100
