0.095,198.474047,26501,10000000,10000030,18.85709,,0.045,18.169378,26963,,,
0.096,248.092498,26501,10000000,10000021,23.822718,,0.045,18.159913,24465,,,
0.097,333.604815,26501,10000000,10000005,32.372104,,0.045,18.172114,5706,,,
0.098,504.309444,26501,10000000,10000037,49.440032,,0.045,18.153005,28146,,,
0.099,892.176701,26501,10000000,10000040,88.338132,,0.045,18.16606,23282,,,
0.005,10.523762,19170,10000000,10000000,0.052643,,0.055,22.194161,400137271,,,
0.015,11.76095,19170,10000000,10000001,0.176458,,0.055,22.186417,42,,,
0.025,13.329967,19170,10000000,10000000,0.33334,,0.055,22.188691,18468,,,
0.035,15.378425,19170,10000000,10000000,0.5384,,0.055,22.179355,6335,,,
0.045,18.154314,19170,10000000,10000002,0.816968,,0.055,22.19446,26501,,,
0.055,22.165733,19170,10000000,10000000,1.21912,,0.055,22.165733,19170,,,
0.065,28.503843,19170,10000000,10000000,1.852572,,0.055,22.216616,15725,,,
0.075,39.850729,19170,10000000,10000000,2.988825,,0.055,22.203372,11479,,,
0.085,66.601278,19170,10000000,10000000,5.660823,,0.055,22.191079,29359,,,
0.095,200.643592,19170,10000000,10000017,19.064997,,0.055,22.213587,26963,,,
0.096,254.004656,19170,10000000,10000028,24.399163,,0.055,22.242717,24465,,,
0.097,325.777137,19170,10000000,10000022,31.603193,,0.055,22.188237,5706,,,
0.098,519.364503,19170,10000000,10000042,50.924202,,0.055,22.204615,28146,,,
0.099,1021.106983,19170,10000000,10000419,101.119768,,0.055,22.232672,23282,,,
0.005,10.519228,15725,10000000,10000000,0.052583,,0.065,28.522737,400137271,,,
0.015,11.759416,15725,10000000,10000000,0.17637,,0.065,28.51453,42,,,
0.025,13.323457,15725,10000000,10000001,0.333052,,0.065,28.585597,18468,,,
0.035,15.375347,15725,10000000,10000000,0.53805,,0.065,28.52304,6335,,,
0.045,18.17591,15725,10000000,10000007,0.818005,,0.065,28.581183,26501,,,
0.055,22.216616,15725,10000000,10000000,1.221546,,0.065,28.503843,19170,,,
0.065,28.564767,15725,10000000,10000001,1.856351,,0.065,28.564767,15725,,,
