Seed,Arrival Rate,"(0.50,1)","(1.62,1)","(2.75,1)","(3.88,1)","(5.00,1)","(0.50,5)","(1.62,5)","(2.75,5)","(3.88,5)","(5.00,5)","(0.50,9)","(1.62,9)","(2.75,9)","(3.88,9)","(5.00,9)","(0.50,13)","(1.62,13)","(2.75,13)","(3.88,13)","(5.00,13)","(0.50,17)","(1.62,17)","(2.75,17)","(3.88,17)","(5.00,17)"
400137271,1,1.313482162,0.518003176,0.325996355,0.238155818,0.187673639,0.503956834,0.31188519,0.230092224,0.182211538,0.151116877,0.637366839,0.403788015,0.264702277,0.203362087,0.169624982,0,0,0,0,0,0,0,0,0,0
400137271,2.52631579,1.463709008,0.528773497,0.32897751,0.239459844,0.188395418,0.58838419,0.329592852,0.236026085,0.185108026,0.15245416,0.348072572,0.238854654,0.185835399,0.153824571,0.1310398,0.098878169,0.082107426,0.079058199,0.077779492,0.063833312,0,0,0,0,0
400137271,4.052631579,1.579986279,0.538160703,0.331487261,0.24052983,0.188952065,0.682247097,0.345677325,0.241800492,0.187665961,0.154120747,0.383944282,0.247021071,0.188177041,0.153220287,0.129777119,0.269317527,0.196293541,0.155227462,0.12920979,0.111462871,0.327537383,0.369790018,0.265179418,0.218000696,0.159578199
400137271,5.578947368,1.664961045,0.546117417,0.333741144,0.241358403,0.189357372,0.782409647,0.360755526,0.247182841,0.190435245,0.155587255,0.439334177,0.260606843,0.193479723,0.156025463,0.131476208,0.28859954,0.198651906,0.157442753,0.131662404,0.113382517,0.225552506,0.163927989,0.126499949,0.106528657,0.091548554
400137271,7.105263158,1.726101342,0.553095352,0.335779241,0.242249859,0.189816798,0.888536318,0.37553751,0.252665067,0.192961974,0.157068159,0.496365483,0.273609563,0.199115736,0.159041688,0.133179503,0.3224116,0.210494031,0.162027784,0.133927293,0.114703275,0.237250364,0.16997484,0.138450253,0.118661324,0.103195337
400137271,8.631578947,1.770454952,0.559151526,0.337693492,0.243068641,0.190231438,0.991959765,0.389501872,0.257786165,0.195446282,0.158389942,0.561707461,0.285352242,0.204231352,0.161625415,0.134711959,0.359096256,0.220845601,0.167519957,0.137106397,0.116839537,0.256967293,0.176323777,0.14087801,0.117995582,0.102301716
400137271,10.15789474,1.804020947,0.5643201,0.33937997,0.243859709,0.190663126,1.090995229,0.403465319,0.262535146,0.197859344,0.159768732,0.634182635,0.298542661,0.209825026,0.164659288,0.136555019,0.400524631,0.230657154,0.172423777,0.140184993,0.118933576,0.280381759,0.185311348,0.14420122,0.120649966,0.104384291
400137271,11.68421053,1.828857686,0.568867323,0.3408834,0.244547148,0.191027126,1.180827146,0.416137561,0.26712186,0.200169455,0.16098895,0.710707697,0.31139444,0.214741513,0.167319223,0.138096966,0.447850944,0.241056309,0.177433082,0.142463948,0.120348491,0.308835679,0.193478159,0.149175452,0.123431806,0.106005234
400137271,13.21052632,1.848003326,0.572889098,0.342335563,0.245199593,0.191415714,1.261493483,0.428334307,0.271611998,0.202266873,0.162319563,0.789223691,0.32402452,0.219642518,0.169792805,0.139702574,0.499097279,0.251849117,0.181334558,0.144953115,0.121928085,0.339790345,0.202365146,0.153059018,0.125672222,0.107630423
400137271,14.73684211,1.864072746,0.576346987,0.343662831,0.245807469,0.191733531,1.329593401,0.439454351,0.275821124,0.204321517,0.163394414,0.867718363,0.336529534,0.224819825,0.172305635,0.141316704,0.555971546,0.262632003,0.186287081,0.147581785,0.123588573,0.376393897,0.210872505,0.157597451,0.128160419,0.109286855
400137271,16.26315789,1.877138173,0.579340444,0.344781889,0.246409057,0.192069053,1.388331232,0.450061828,0.279842182,0.20633654,0.164542693,0.944954389,0.348485065,0.229702104,0.174912551,0.14277626,0.617248338,0.273601887,0.190976812,0.150215414,0.125148276,0.415396025,0.220137299,0.161846202,0.130842133,0.110868813
400137271,17.78947368,1.887358418,0.582042669,0.345869869,0.246932663,0.192348995,1.439418227,0.459637762,0.283602577,0.208260269,0.165701465,1.017200607,0.360743355,0.234042543,0.177441432,0.144249322,0.680176825,0.284669802,0.195884247,0.15291729,0.12669742,0.459079223,0.229005851,0.165869171,0.133127661,0.112456905
400137271,19.31578947,1.896237101,0.584295332,0.346874813,0.247439913,0.19263642,1.483005043,0.468586503,0.287204461,0.210137805,0.166855627,1.083447324,0.371748314,0.238894048,0.179817139,0.145636609,0.745020953,0.296278779,0.200365583,0.155207532,0.128411819,0.507075115,0.2391774,0.170177357,0.135522642,0.11401771
400137271,20.84210526,1.903721881,0.586395148,0.3477482,0.24792002,0.192934896,1.520449223,0.476868351,0.290536206,0.211779051,0.167753274,1.144201937,0.3824575,0.242893229,0.182100021,0.146974423,0.810838804,0.306793985,0.204915882,0.157812362,0.129875759,0.558120447,0.248548993,0.174646318,0.138047915,0.115629103
400137271,22.36842105,1.910355537,0.588149363,0.348628902,0.248373034,0.193167445,1.553390163,0.484481185,0.29372872,0.213466725,0.168825915,1.200413405,0.393037772,0.247340435,0.184336469,0.148389055,0.872633482,0.317587225,0.209325938,0.160245156,0.131341996,0.611164776,0.258490431,0.178808313,0.140449301,0.11708945
400137271,23.89473684,1.915758557,0.589797071,0.349452189,0.248789857,0.193443513,1.582145964,0.491333705,0.296641851,0.215038575,0.169735638,1.248985814,0.402792392,0.251415193,0.186446827,0.149642665,0.934284023,0.328269313,0.213682432,0.162741016,0.132946146,0.665454616,0.268119223,0.183132793,0.142803028,0.118760764
400137271,25.42105263,1.920900933,0.591196225,0.350031956,0.249131837,0.193642003,1.606859415,0.497989015,0.299596602,0.21647831,0.170681097,1.292103471,0.412222708,0.255346606,0.188650994,0.151034897,0.989298,0.338477028,0.217943678,0.165034142,0.13431294,0.721784868,0.278231715,0.187401231,0.145215535,0.120201527
400137271,26.94736842,1.925346171,0.592574181,0.350711967,0.249491689,0.193884685,1.628658964,0.503768845,0.302276979,0.218032083,0.171516667,1.332088912,0.421048315,0.259193293,0.190642896,0.15228368,1.042343922,0.348271118,0.222431452,0.167336173,0.135685133,0.776682456,0.287630375,0.191587294,0.147546402,0.121612598
400137271,28.47368421,1.929306941,0.5938114,0.351279175,0.249844958,0.19408759,1.648954585,0.509043509,0.304598925,0.219382644,0.172371816,1.367216265,0.429276948,0.262670177,0.192603379,0.153479301,1.091807176,0.357976421,0.226327863,0.169575659,0.137166045,0.830420645,0.29752747,0.195699132,0.149920435,0.123151476
400137271,30,1.93294981,0.594871717,0.351845589,0.250181461,0.194271743,1.666723141,0.514341988,0.306937337,0.220651073,0.173136894,1.400642016,0.437275385,0.266211226,0.1944925,0.154704312,1.135946926,0.367264502,0.23033961,0.171686104,0.13855018,0.881383032,0.306765795,0.19956337,0.152125105,0.124502583
400137271,1,0.396454023,0.457189278,0.472933335,0.480151833,0.484302743,0.000908573,0.001726414,0.002092214,0.002302485,0.002436648,0,0.0000004,0.0000006,0.0000006,0.0000006,0,0,0,0,0,0,0,0,0,0
400137271,2.52631579,0.648808295,0.684665431,0.695457245,0.700781039,0.704047325,0.031491062,0.049095205,0.055672946,0.059319467,0.061643093,0.000213754,0.000432013,0.000544104,0.000613623,0.000656568,0.0000006,0.0000006,0.0000006,0.0000006,0.0000008,0,0,0,0,0
