Seed,arrival rate,"(BEB,5,1.00,0.50)","(BEB,5,1.00,0.75)","(BEB,5,1.00,1.00)","(BEB,5,1.00,1.25)","(BEB,5,1.00,1.50)","(BEB,5,1.00,2.00)","(BEB,5,1.00,3.00)","(BEB,10,1.00,0.50)","(BEB,10,1.00,0.75)","(BEB,10,1.00,1.00)","(BEB,10,1.00,1.25)","(BEB,10,1.00,1.50)","(BEB,10,1.00,2.00)","(BEB,10,1.00,3.00)"
400137271,2.0004285714,0.9997060864,0.9997740511,0.9998240310,0.9997400676,0.7731351015,0.9732549539,0.9990119772,0.9989560909,0.9991627017,0.9990818438,0.9992345863,0.8000531235,0.9272979835,0.9976654628
400137271,2.0718367347,0.9997780493,0.9997820475,0.9997940424,0.9981733428,0.9188989018,0.9975818616,0.9991796735,0.9988034335,0.9989970070,0.9992855109,0.9978635741,0.8081937919,0.9571942721,0.9968161692
400137271,2.1432448980,0.9996681102,0.9998020392,0.9998070372,0.8589722226,0.9032885122,0.9913416223,0.9993144703,0.9990289439,0.9990588865,0.9992485651,0.8422818764,0.9240239766,0.9826348765,0.9902892239
400137271,2.2146530612,0.9996441267,0.9998210320,0.9997820475,0.7169856775,0.9122556067,0.9982321309,0.9991197755,0.9990489054,0.9990409207,0.9992805180,0.6827979969,0.8118135102,0.9658112476,0.9942512393
400137271,2.2860612245,0.9997030882,0.9998230313,0.9998160338,0.5775632836,0.9229673030,0.9992076284,0.9992136189,0.9989181716,0.9991127878,0.9992974939,0.5248379563,0.9165297982,0.9890873987,0.9960962986
400137271,2.3574693878,0.9997950420,0.9998180331,0.9998210320,0.6545547849,0.9890003382,0.9991217720,0.9993574132,0.9990788493,0.9991607050,0.9991876604,0.6335019927,0.9686712349,0.9418226717,0.9976684488
400137271,2.4288775510,0.9998060376,0.9997340707,0.9997930428,0.8271319118,0.9369928526,0.9989511013,0.9993254553,0.9990798475,0.9992146173,0.9991147843,0.6536943208,0.9656396445,0.9451876245,0.9974256444
400137271,2.5002857143,0.9997740511,0.9998240310,0.9997400676,0.7731351015,0.9732549539,0.9990119772,0.9992725296,0.9991627017,0.9990818438,0.9992345863,0.8000531235,0.9272979835,0.9976654628,0.9898559562
400137271,2.5716938776,0.9997820475,0.9997940424,0.9981733428,0.9188989018,0.9975818616,0.9991796735,0.9994562958,0.9989970070,0.9992855109,0.9978635741,0.8081937919,0.9571942721,0.9968161692,0.9983447444
400137271,2.6431020408,0.9998020392,0.9998070372,0.8589722226,0.9032885122,0.9913416223,0.9993144703,0.9994562958,0.9990588865,0.9992485651,0.8422818764,0.9240239766,0.9826348765,0.9902892239,0.9982889328
400137271,2.7145102041,0.9998210320,0.9997820475,0.7169856775,0.9122556067,0.9982321309,0.9991197755,0.9994383157,0.9990409207,0.9992805180,0.6827979969,0.8118135102,0.9658112476,0.9942512393,0.9984085368
400137271,2.7859183673,0.9998230313,0.9998160338,0.5775632836,0.9229673030,0.9992076284,0.9992136189,0.9994233327,0.9991127878,0.9992974939,0.5248379563,0.9165297982,0.9890873987,0.9960962986,0.9984294704
400137271,2.8573265306,0.9998180331,0.9998210320,0.6545547849,0.9890003382,0.9991217720,0.9993574132,0.9995691857,0.9991607050,0.9991876604,0.6335019927,0.9686712349,0.9418226717,0.9976684488,0.9983457411
400137271,2.9287346939,0.9997340707,0.9997930428,0.8271319118,0.9369928526,0.9989511013,0.9993254553,0.9995472051,0.9992146173,0.9991147843,0.6536943208,0.9656396445,0.9451876245,0.9974256444,0.9986867270
400137271,3.0001428571,0.9998240310,0.9997400676,0.7731351015,0.9732549539,0.9990119772,0.9992725296,0.9995402115,0.9990818438,0.9992345863,0.8000531235,0.9272979835,0.9976654628,0.9898559562,0.9986468335
400137271,3.0715510204,0.9997940424,0.9981733428,0.9188989018,0.9975818616,0.9991796735,0.9994562958,0.9995382133,0.9992855109,0.9978635741,0.8081937919,0.9571942721,0.9968161692,0.9983447444,0.9985132138
400137271,3.1429591837,0.9998070372,0.8589722226,0.9032885122,0.9913416223,0.9993144703,0.9994562958,0.9995541988,0.9992485651,0.8422818764,0.9240239766,0.9826348765,0.9902892239,0.9982889328,0.9985919853
400137271,3.2143673469,0.9997820475,0.7169856775,0.9122556067,0.9982321309,0.9991197755,0.9994383157,0.9995751805,0.9992805180,0.6827979969,0.8118135102,0.9658112476,0.9942512393,0.9984085368,0.9987904647
400137271,3.2857755102,0.9998160338,0.5775632836,0.9229673030,0.9992076284,0.9992136189,0.9994233327,0.9995951640,0.9992974939,0.5248379563,0.9165297982,0.9890873987,0.9960962986,0.9984294704,0.9987924599
400137271,3.3571836735,0.9998210320,0.6545547849,0.9890003382,0.9991217720,0.9993574132,0.9995691857,0.9995472051,0.9991876604,0.6335019927,0.9686712349,0.9418226717,0.9976684488,0.9983457411,0.9989920171
400137271,3.4285918367,0.9997930428,0.8271319118,0.9369928526,0.9989511013,0.9993254553,0.9995472051,0.9996001599,0.9991147843,0.6536943208,0.9656396445,0.9451876245,0.9974256444,0.9986867270,0.9988842463
400137271,3.5000000000,0.9997400676,0.7731351015,0.9732549539,0.9990119772,0.9992725296,0.9995402115,0.9993434314,0.9992345863,0.8000531235,0.9272979835,0.9976654628,0.9898559562,0.9986468335,0.9988922285

