Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,1.0053456507,1.0057783874
400137271,0.0110604027,1.0626856540,1.0690924201
400137271,0.0211208054,1.1254257160,1.1453521078
400137271,0.0311812081,1.1941329495,1.2241335398
400137271,0.0412416107,1.2672640455,1.3135836979
400137271,0.0513020134,1.3449426857,1.4110602889
400137271,0.0613624161,1.4324596512,1.5196628986
400137271,0.0714228188,1.5239195258,1.6365485518
400137271,0.0814832215,1.6312204686,1.7857096180
400137271,0.0915436242,1.7372187413,1.9358063661
400137271,0.1016040268,1.8500211311,2.1012756805
400137271,0.1116644295,1.9747716260,2.2860270226
400137271,0.1217248322,2.0970898822,2.4675620858
400137271,0.1317852349,2.2264523435,2.6926090233
400137271,0.1418456376,2.3644290223,2.8941044574
400137271,0.1519060403,2.4951578996,3.0837215110
400137271,0.1619664430,2.6220642044,3.2126007391
400137271,0.1720268456,2.7421696762,3.3357011969
400137271,0.1820872483,2.8251558950,3.3890918610
400137271,0.1921476510,2.8911372204,3.4374530586
400137271,0.2022080537,2.9240433757,3.3626915910
400137271,0.2122684564,2.9171541157,3.2505681316
400137271,0.2223288591,2.8898548004,3.2903584769
400137271,0.2323892617,2.8186035620,3.2593074347
400137271,0.2424496644,2.8244480184,3.1897903824
400137271,0.2525100671,2.7927901941,3.3024532271
400137271,0.2625704698,2.8480748278,3.0861287145
400137271,0.2726308725,2.8469118484,3.0749488199
400137271,0.2826912752,2.8378886138,3.0856968629
400137271,0.2927516779,2.7619276936,3.0946299503
400137271,0.3028120805,2.7266069523,3.1412540273
400137271,0.3128724832,2.7146745039,3.1038858804
400137271,0.3229328859,2.7245010955,3.0513997579
400137271,0.3329932886,2.6791906660,3.0806715126
400137271,0.3430536913,2.6975355275,2.9849687915
400137271,0.3531140940,2.7065925787,3.0610710766
400137271,0.3631744966,2.7070988791,2.9964971431
400137271,0.3732348993,2.6787429082,2.9827085430
400137271,0.3832953020,2.7237611336,2.9536821669
400137271,0.3933557047,2.6288864299,3.0401857612
400137271,0.4034161074,2.6425634962,2.9758194722
400137271,0.4134765101,2.8019948848,2.9272977016
400137271,0.4235369128,2.7090816662,2.9070728840
400137271,0.4335973154,2.6380758539,2.9277188295
400137271,0.4436577181,2.6964386265,2.9560063257
400137271,0.4537181208,2.7295916492,2.9098708417
400137271,0.4637785235,2.7058558169,2.9878571418
400137271,0.4738389262,2.5869159355,2.8925323388
400137271,0.4838993289,2.7011711053,2.8364678042
400137271,0.4939597315,2.7151954527,2.8619061339
400137271,0.5040201342,2.6858693105,2.9391588499
