Seed,arrival rate,"(3,5)","(3,10)"
400137271,0.0010000000,-1.0000000000,0.0000999282
400137271,0.0110604027,-1.0000000000,0.0011055381
400137271,0.0211208054,-1.0000000000,0.0021103811
400137271,0.0311812081,-1.0000000000,0.0031167249
400137271,0.0412416107,-1.0000000000,0.0041301998
400137271,0.0513020134,-1.0000000000,0.0051323639
400137271,0.0613624161,-1.0000000000,0.0061427248
400137271,0.0714228188,-1.0000000000,0.0071446917
400137271,0.0814832215,-1.0000000000,0.0081326111
400137271,0.0915436242,-1.0000000000,0.0091428080
400137271,0.1016040268,-1.0000000000,0.0101707286
400137271,0.1116644295,-1.0000000000,0.0111635355
400137271,0.1217248322,-1.0000000000,0.0121884225
400137271,0.1317852349,-1.0000000000,0.0131833446
400137271,0.1418456376,-1.0000000000,0.0141904783
400137271,0.1519060403,-1.0000000000,0.0151491367
400137271,0.1619664430,-1.0000000000,0.0162360795
400137271,0.1720268456,-1.0000000000,0.0171949590
400137271,0.1820872483,-1.0000000000,0.0181975763
400137271,0.1921476510,-1.0000000000,0.0191865117
400137271,0.2022080537,-1.0000000000,0.0201975027
400137271,0.2122684564,-1.0000000000,0.0203512856
400137271,0.2223288591,-1.0000000000,0.0222553108
400137271,0.2323892617,-1.0000000000,0.0232685133
400137271,0.2424496644,-1.0000000000,0.0049585764
400137271,0.2525100671,-1.0000000000,0.0251877100
400137271,0.2625704698,-1.0000000000,0.0262306244
400137271,0.2726308725,-1.0000000000,0.0257012487
400137271,0.2826912752,-1.0000000000,0.0282686122
400137271,0.2927516779,-1.0000000000,0.0285901770
400137271,0.3028120805,-1.0000000000,0.0289462493
400137271,0.3128724832,-1.0000000000,0.0270704027
400137271,0.3229328859,-1.0000000000,0.0242884504
400137271,0.3329932886,-1.0000000000,0.0334355941
400137271,0.3430536913,-1.0000000000,0.0298064805
400137271,0.3531140940,-1.0000000000,0.0353989407
400137271,0.3631744966,-1.0000000000,0.0357672679
400137271,0.3732348993,-1.0000000000,0.0125579259
400137271,0.3832953020,-1.0000000000,0.0380862594
400137271,0.3933557047,-1.0000000000,0.0336554448
400137271,0.4034161074,-1.0000000000,0.0372484578
400137271,0.4134765101,-1.0000000000,0.0412331014
400137271,0.4235369128,-1.0000000000,0.0355830239
400137271,0.4335973154,-1.0000000000,0.0430081532
400137271,0.4436577181,-1.0000000000,0.0437898786
400137271,0.4537181208,-1.0000000000,0.0107665792
400137271,0.4637785235,-1.0000000000,0.0439354805
400137271,0.4738389262,-1.0000000000,0.0210300865
400137271,0.4838993289,-1.0000000000,0.0476173875
400137271,0.4939597315,-1.0000000000,0.0254794294
400137271,0.5040201342,-1.0000000000,0.0503208175
400137271,0.5140805369,-1.0000000000,0.0493220276
400137271,0.5241409396,-1.0000000000,0.0291127132
400137271,0.5342013423,-1.0000000000,0.0530748076
400137271,0.5442617450,-1.0000000000,0.0329114975
400137271,0.5543221477,-1.0000000000,0.0553720431
400137271,0.5643825503,-1.0000000000,0.0103877184
400137271,0.5744429530,-1.0000000000,0.0299475457
400137271,0.5845033557,-1.0000000000,0.0124249259
400137271,0.5945637584,-1.0000000000,0.0425343738
400137271,0.6046241611,-1.0000000000,0.0196900827
400137271,0.6146845638,-1.0000000000,0.0600471478
400137271,0.6247449664,-1.0000000000,0.0590329274
400137271,0.6348053691,-1.0000000000,0.0077307156
400137271,0.6448657718,-1.0000000000,0.0643701341
400137271,0.6549261745,-1.0000000000,0.0027219922
400137271,0.6649865772,-1.0000000000,0.0565645043
400137271,0.6750469799,-1.0000000000,0.0675258304
400137271,0.6851073826,-1.0000000000,0.0354191273
400137271,0.6951677852,-1.0000000000,0.0070065542
400137271,0.7052281879,-1.0000000000,0.0006905564
400137271,0.7152885906,-1.0000000000,0.0685143541
400137271,0.7253489933,-1.0000000000,0.0686051576
400137271,0.7354093960,-1.0000000000,0.0007249788
400137271,0.7454697987,-1.0000000000,0.0631129575
400137271,0.7555302013,-1.0000000000,0.0508995454
400137271,0.7655906040,-1.0000000000,0.0212516693
400137271,0.7756510067,-1.0000000000,0.0011757684
400137271,0.7857114094,-1.0000000000,0.0002161320
400137271,0.7957718121,-1.0000000000,0.0137340136
400137271,0.8058322148,-1.0000000000,0.0000374844
400137271,0.8158926174,-1.0000000000,0.0614400261
400137271,0.8259530201,-1.0000000000,0.0797956731
